#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.32903     4.32903           0
           2     4.62066     4.47485    0.103105
           3     4.58213     4.51061   0.0746815
           4     4.42019       4.488   0.0593333
           5     4.37124     4.46465   0.0518591
           6     4.42396     4.45787   0.0436571
           7     4.44709     4.45633   0.0374475
           8     4.35791     4.44403   0.0347288
           9      4.3675     4.43552    0.031894
          10     4.25154     4.41713   0.0335949
          11     4.19561     4.39699   0.0360751
          12     4.32129     4.39068   0.0336159
          13     4.24714     4.37964   0.0327934
          14     4.28565     4.37292   0.0311305
          15     4.38955     4.37403   0.0290749
          16     4.54759     4.38488   0.0292112
          17     4.53326     4.39361   0.0287673
          18     4.54064     4.40178    0.028305
          19     4.61265     4.41288   0.0289095
          20     4.19365     4.40191   0.0294689
