#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168      1.0706     1.11803  0.00701849
         169     1.07671     1.11778  0.00698121
         170     1.08271     1.11758  0.00694319
         171     1.08857     1.11741  0.00690466
         172     1.09427     1.11727  0.00686583
         173     1.09978     1.11717  0.00682689
         174     1.10509      1.1171    0.006788
         175     1.11018     1.11706  0.00674933
         176     1.11505     1.11705  0.00671099
         177     1.11968     1.11707  0.00667309
         178     1.12407      1.1171  0.00663572
         179     1.12823     1.11717  0.00659894
         180     1.13215     1.11725   0.0065628
         181     1.13583     1.11735  0.00652735
         182     1.13929     1.11747   0.0064926
         183     1.14253     1.11761  0.00645856
         184     1.14557     1.11776  0.00642525
         185     1.14841     1.11793  0.00639265
         186     1.15106     1.11811  0.00636077
         187     1.15356      1.1183  0.00632957
         188      1.1559      1.1185  0.00629907
         189      1.1581     1.11871  0.00626922
         190      1.1602     1.11892  0.00624003
         191     1.16219     1.11915  0.00621147
         192      1.1641     1.11938  0.00618353
         193     1.16594     1.11963  0.00615619
         194     1.16774     1.11987  0.00612945
         195     1.16949     1.12013   0.0061033
         196     1.17123     1.12039  0.00607773
         197     1.17295     1.12066  0.00605273
         198     1.17468     1.12093  0.00602831
         199     1.17641     1.12121  0.00600446
         200     1.17816     1.12149  0.00598118
         201     1.17994     1.12178  0.00595849
         202     1.18174     1.12208  0.00593638
         203     1.18356     1.12238  0.00591486
         204     1.18541     1.12269  0.00589393
         205     1.18729     1.12301  0.00587359
         206     1.18918     1.12333  0.00585386
         207     1.19108     1.12365  0.00583472
         208     1.19298     1.12399  0.00581618
         209     1.19488     1.12433  0.00579823
         210     1.19676     1.12467  0.00578087
         211     1.19861     1.12502  0.00576409
         212     1.20042     1.12538  0.00574786
         213     1.20219     1.12574  0.00573218
         214     1.20389      1.1261  0.00571701
         215     1.20552     1.12647  0.00570234
         216     1.20707     1.12685  0.00568814
         217     1.20854     1.12722  0.00567437
         218      1.2099      1.1276    0.005661
         219     1.21116     1.12798  0.00564799
         220      1.2123     1.12837  0.00563531
         221     1.21334     1.12875  0.00562291
         222     1.21427     1.12914  0.00561076
         223     1.21508     1.12952  0.00559882
         224     1.21578     1.12991  0.00558705
         225     1.21637     1.13029  0.00557542
         226     1.21687     1.13067  0.00556389
         227     1.21727     1.13106  0.00555244
         228     1.21758     1.13144  0.00554104
         229     1.21781     1.13181  0.00552967
         230     1.21798     1.13219  0.00551831
         231     1.21809     1.13256  0.00550693
         232     1.21814     1.13293  0.00549554
         233     1.21816     1.13329  0.00548411
         234     1.21815     1.13366  0.00547265
         235     1.21812     1.13402  0.00546116
         236     1.21807     1.13437  0.00544962
         237     1.21802     1.13473  0.00543804
         238     1.21797     1.13507  0.00542643
         239     1.21793     1.13542  0.00541479
         240     1.21789     1.13577  0.00540312
         241     1.21787     1.13611  0.00539143
         242     1.21787     1.13644  0.00537972
         243     1.21788     1.13678  0.00536801
         244     1.21791     1.13711   0.0053563
         245     1.21795     1.13744  0.00534459
         246     1.21802     1.13777  0.00533289
         247     1.21809     1.13809  0.00532121
         248     1.21817     1.13842  0.00530954
         249     1.21825     1.13874  0.00529789
         250     1.21833     1.13906  0.00528625
         251      1.2184     1.13937  0.00527463
         252     1.21846     1.13969  0.00526303
         253      1.2185        1.14  0.00525144
         254     1.21851     1.14031  0.00523985
         255     1.21848     1.14061  0.00522826
         256      1.2184     1.14092  0.00521666
         257     1.21828     1.14122  0.00520504
         258     1.21809     1.14152  0.00519339
         259     1.21782     1.14181  0.00518169
         260     1.21748      1.1421  0.00516992
         261     1.21704     1.14239  0.00515808
         262      1.2165     1.14267  0.00514615
         263     1.21585     1.14295   0.0051341
         264     1.21508     1.14322  0.00512191
         265     1.21419     1.14349  0.00510958
         266     1.21316     1.14375  0.00509708
         267     1.21198     1.14401  0.00508439
         268     1.21067     1.14426   0.0050715
         269     1.20922      1.1445   0.0050584
         270     1.20763     1.14473  0.00504506
         271     1.20591     1.14496   0.0050315
         272     1.20408     1.14518  0.00501769
         273     1.20213     1.14538  0.00500365
         274      1.2001     1.14558  0.00498937
         275     1.19801     1.14577  0.00497487
         276     1.19589     1.14596  0.00496015
         277     1.19376     1.14613  0.00494525
         278     1.19168     1.14629  0.00493017
         279     1.18967     1.14645  0.00491495
         280     1.18778      1.1466  0.00489962
         281     1.18607     1.14674  0.00488419
         282     1.18455     1.14687  0.00486871
         283     1.18329       1.147  0.00485321
         284     1.18231     1.14712  0.00483771
         285     1.18164     1.14724  0.00482225
         286     1.18131     1.14736  0.00480686
         287     1.18133     1.14748  0.00479157
         288      1.1817      1.1476  0.00477641
         289     1.18243     1.14772   0.0047614
         290     1.18348     1.14784  0.00474658
         291     1.18484     1.14797  0.00473197
         292     1.18647      1.1481   0.0047176
         293     1.18832     1.14824   0.0047035
         294     1.19036     1.14838  0.00468968
         295     1.19253     1.14853  0.00467617
         296     1.19477     1.14869  0.00466298
         297     1.19703     1.14885  0.00465012
         298     1.19926     1.14902  0.00463759
         299     1.20141      1.1492  0.00462539
         300     1.20344     1.14938   0.0046135
         301     1.20531     1.14956  0.00460192
         302     1.20698     1.14975  0.00459061
         303     1.20844     1.14995  0.00457954
         304     1.20965     1.15014  0.00456868
         305     1.21061     1.15034    0.004558
         306     1.21132     1.15054  0.00454746
         307     1.21177     1.15074  0.00453702
         308     1.21197     1.15094  0.00452664
         309     1.21193     1.15114   0.0045163
         310     1.21167     1.15133  0.00450595
         311      1.2112     1.15152  0.00449557
         312     1.21054     1.15171  0.00448514
         313     1.20974      1.1519  0.00447464
         314      1.2088     1.15208  0.00446405
         315     1.20777     1.15226  0.00445338
         316     1.20667     1.15243  0.00444262
         317     1.20552      1.1526  0.00443176
         318     1.20437     1.15276  0.00442081
         319     1.20323     1.15292  0.00440978
         320     1.20213     1.15307  0.00439868
         321      1.2011     1.15322  0.00438752
         322     1.20015     1.15337  0.00437632
         323      1.1993     1.15351  0.00436508
         324     1.19857     1.15365  0.00435382
         325     1.19796     1.15378  0.00434256
         326     1.19748     1.15392  0.00433131
         327     1.19713     1.15405  0.00432007
         328     1.19691     1.15418  0.00430888
         329     1.19681     1.15431  0.00429773
         330     1.19682     1.15444  0.00428664
         331     1.19693     1.15457  0.00427561
         332     1.19713      1.1547  0.00426465
         333     1.19739     1.15482  0.00425377
         334     1.19769     1.15495  0.00424297
         335     1.19802     1.15508  0.00423225
         336     1.19836     1.15521  0.00422162
         337     1.19868     1.15534  0.00421106
         338     1.19897     1.15547  0.00420058
         339      1.1992      1.1556  0.00419017
         340     1.19935     1.15573  0.00417982
         341     1.19941     1.15585  0.00416953
         342     1.19937     1.15598  0.00415928
         343      1.1992     1.15611  0.00414906
         344     1.19891     1.15623  0.00413886
         345     1.19847     1.15635  0.00412868
         346     1.19788     1.15647  0.00411849
         347     1.19714     1.15659  0.00410828
         348     1.19623     1.15671  0.00409806
         349     1.19517     1.15682   0.0040878
         350     1.19393     1.15692  0.00407749
         351     1.19254     1.15702  0.00406714
         352     1.19097     1.15712  0.00405673
         353     1.18925     1.15721  0.00404626
         354     1.18736      1.1573  0.00403572
         355     1.18532     1.15737  0.00402513
         356     1.18311     1.15745  0.00401447
         357     1.18076     1.15751  0.00400376
         358     1.17825     1.15757  0.00399299
         359     1.17559     1.15762  0.00398218
         360     1.17279     1.15766  0.00397134
         361     1.16985      1.1577  0.00396049
         362     1.16677     1.15772  0.00394963
         363     1.16355     1.15774  0.00393878
         364     1.16021     1.15774  0.00392796
         365     1.15673     1.15774   0.0039172
         366     1.15313     1.15773  0.00390652
         367     1.14942     1.15771  0.00389594
         368     1.14559     1.15767  0.00388549
         369     1.14165     1.15763  0.00387521
         370     1.13762     1.15758  0.00386511
         371     1.13351     1.15751  0.00385524
         372     1.12932     1.15744  0.00384562
         373     1.12507     1.15735  0.00383629
         374     1.12079     1.15725  0.00382727
         375     1.11649     1.15714  0.00381861
         376     1.11219     1.15702  0.00381033
         377     1.10793     1.15689  0.00380244
         378     1.10374     1.15675  0.00379498
         379     1.09965      1.1566  0.00378796
         380     1.09569     1.15644  0.00378138
         381     1.09192     1.15627  0.00377525
         382     1.08836     1.15609  0.00376955
         383     1.08506     1.15591  0.00376427
         384     1.08206     1.15572  0.00375937
         385     1.07939     1.15552  0.00375483
         386     1.07711     1.15531  0.00375059
         387     1.07523     1.15511  0.00374661
         388     1.07378      1.1549  0.00374281
         389      1.0728     1.15469  0.00373913
         390     1.07228     1.15448  0.00373551
         391     1.07225     1.15427  0.00373187
         392     1.07269     1.15406  0.00372815
         393     1.07359     1.15385  0.00372428
         394     1.07495     1.15365  0.00372021
         395     1.07674     1.15346  0.00371588
         396     1.07892     1.15327  0.00371126
         397     1.08147     1.15309  0.00370632
         398     1.08435     1.15292  0.00370103
         399      1.0875     1.15275  0.00369538
         400     1.09088      1.1526  0.00368938
         401     1.09446     1.15245  0.00368303
         402     1.09817     1.15232  0.00367634
         403     1.10198     1.15219  0.00366934
         404     1.10584     1.15208  0.00366205
         405     1.10971     1.15197   0.0036545
         406     1.11354     1.15188  0.00364673
         407      1.1173     1.15179  0.00363875
         408     1.12096     1.15172  0.00363062
         409     1.12449     1.15165  0.00362235
         410     1.12786     1.15159  0.00361398
         411     1.13104     1.15154  0.00360554
         412     1.13403      1.1515  0.00359704
         413     1.13681     1.15146   0.0035885
         414     1.13937     1.15144  0.00357995
         415     1.14169     1.15141   0.0035714
         416     1.14378     1.15139  0.00356287
         417     1.14564     1.15138  0.00355435
         418     1.14726     1.15137  0.00354586
         419     1.14865     1.15136   0.0035374
         420      1.1498     1.15136  0.00352898
         421     1.15072     1.15136   0.0035206
         422     1.15142     1.15136  0.00351226
         423      1.1519     1.15136  0.00350395
         424     1.15216     1.15136  0.00349569
         425     1.15221     1.15136  0.00348747
         426     1.15205     1.15137  0.00347928
         427     1.15167     1.15137  0.00347113
         428     1.15109     1.15137  0.00346302
         429      1.1503     1.15136  0.00345495
         430      1.1493     1.15136  0.00344692
         431      1.1481     1.15135  0.00343893
         432     1.14668     1.15134  0.00343099
         433     1.14505     1.15133  0.00342309
         434     1.14322     1.15131  0.00341526
         435     1.14117     1.15128  0.00340749
         436     1.13893     1.15125  0.00339979
         437     1.13648     1.15122  0.00339218
         438     1.13384     1.15118  0.00338466
         439     1.13102     1.15114  0.00337727
         440     1.12803     1.15108     0.00337
         441     1.12488     1.15102  0.00336288
         442     1.12159     1.15096  0.00335593
         443     1.11818     1.15088  0.00334917
         444     1.11465      1.1508  0.00334262
         445     1.11104     1.15071   0.0033363
         446     1.10737     1.15061  0.00333024
         447     1.10365     1.15051  0.00332444
         448     1.09992      1.1504  0.00331894
         449     1.09618     1.15028  0.00331375
         450     1.09247     1.15015  0.00330887
         451      1.0888     1.15001  0.00330433
         452      1.0852     1.14987  0.00330013
         453     1.08168     1.14972  0.00329627
         454     1.07828     1.14956  0.00329277
         455     1.07502      1.1494   0.0032896
         456     1.07191     1.14923  0.00328677
         457     1.06898     1.14905  0.00328427
         458     1.06626     1.14887  0.00328207
         459     1.06376     1.14868  0.00328015
         460     1.06152      1.1485  0.00327849
         461     1.05956      1.1483  0.00327705
         462      1.0579     1.14811  0.00327579
         463     1.05658     1.14791  0.00327468
         464     1.05561     1.14771  0.00327366
         465     1.05502     1.14751  0.00327268
         466     1.05483     1.14731  0.00327169
         467     1.05505     1.14711  0.00327065
         468     1.05569     1.14692  0.00326949
         469     1.05677     1.14673  0.00326816
         470     1.05828     1.14654  0.00326662
         471     1.06022     1.14636  0.00326482
         472     1.06256     1.14618  0.00326273
         473     1.06531     1.14601  0.00326031
         474     1.06843     1.14584  0.00325754
         475     1.07189     1.14569   0.0032544
         476     1.07566     1.14554  0.00325088
         477      1.0797      1.1454    0.003247
         478     1.08398     1.14527  0.00324275
         479     1.08844     1.14516  0.00323815
         480     1.09305     1.14505  0.00323322
         481     1.09776     1.14495  0.00322799
         482     1.10253     1.14486  0.00322249
         483     1.10734     1.14478  0.00321676
         484     1.11213     1.14472  0.00321082
         485     1.11689     1.14466  0.00320471
         486     1.12157     1.14461  0.00319847
         487     1.12615     1.14457  0.00319213
         488     1.13061     1.14454  0.00318571
         489     1.13494     1.14452  0.00317926
         490     1.13911     1.14451  0.00317279
         491     1.14312     1.14451  0.00316633
         492     1.14694     1.14452   0.0031599
         493     1.15059     1.14453  0.00315351
         494     1.15405     1.14455  0.00314719
