#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.15676     2.15676           0
           2     2.18024      2.1685  0.00830121
           3     2.15565     2.16422  0.00654701
           4     2.17525     2.16698  0.00546079
           5     2.21288     2.17616  0.00930146
           6     2.17326     2.17567  0.00776373
           7     2.24445      2.1855    0.011271
           8     2.16536     2.18298   0.0101394
           9     2.18957     2.18371  0.00903919
          10     2.18891     2.18423   0.0081502
          11     2.13958     2.18017   0.0083591
          12     2.19779     2.18164  0.00779041
          13     2.08322     2.17407   0.0102284
          14     2.14009     2.17164  0.00978158
          15     2.17844      2.1721  0.00913994
          16     2.11354     2.16844  0.00927253
          17     2.16172     2.16804  0.00873549
          18      2.2072     2.17022  0.00851668
          19     2.08872     2.16593  0.00908466
          20     2.15784     2.16552  0.00863943
