#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -0.32325   -0.361825  0.00269526
         153   -0.366256   -0.361854   0.0026778
         154   -0.377462   -0.361955  0.00266233
         155    -0.34649   -0.361855  0.00264702
         156   -0.312539   -0.361539  0.00264887
         157   -0.299822   -0.361146    0.002661
         158    -0.30449   -0.360788  0.00266821
         159   -0.306448   -0.360446  0.00267323
         160   -0.330501   -0.360259  0.00266307
         161   -0.357724   -0.360243  0.00264657
         162   -0.358049   -0.360229  0.00263027
         163   -0.344158   -0.360131  0.00261598
         164   -0.341543   -0.360017  0.00260248
         165   -0.351461   -0.359966  0.00258723
         166   -0.363499   -0.359987  0.00257173
         167   -0.342871   -0.359884  0.00255837
         168   -0.344987   -0.359796  0.00254468
         169   -0.362398   -0.359811  0.00252967
         170   -0.403667   -0.360069  0.00252791
         171   -0.394044   -0.360268  0.00252092
         172   -0.387065   -0.360424  0.00251107
         173   -0.374654   -0.360506  0.00249791
         174   -0.364032   -0.360526  0.00248363
         175   -0.356294   -0.360502  0.00246956
         176   -0.352973   -0.360459   0.0024559
         177    -0.34865   -0.360392  0.00244293
         178   -0.331516    -0.36023  0.00243458
         179   -0.328888   -0.360055  0.00242727
         180   -0.349239   -0.359995  0.00241453
         181   -0.368151    -0.36004  0.00240161
         182   -0.354784   -0.360011  0.00238859
         183   -0.380513   -0.360123  0.00237816
         184   -0.384061   -0.360253  0.00236879
         185   -0.376216    -0.36034  0.00235756
         186   -0.380059   -0.360446  0.00234727
         187   -0.388012   -0.360593  0.00233934
         188   -0.403318    -0.36082  0.00233791
         189   -0.426082   -0.361166   0.0023509
         190   -0.405597   -0.361399  0.00235013
         191   -0.402753   -0.361616  0.00234778
         192    -0.39238   -0.361776  0.00234101
         193   -0.397737   -0.361963  0.00233628
         194   -0.376329   -0.362037  0.00232541
         195   -0.376478   -0.362111  0.00231467
         196   -0.383647   -0.362221  0.00230546
         197   -0.412228   -0.362474  0.00230769
         198   -0.439448   -0.362863  0.00232855
         199     -0.4731   -0.363417  0.00238183
         200   -0.468977   -0.363945   0.0024277
         201     -0.4436   -0.364341  0.00244775
         202   -0.424054   -0.364637  0.00245342
         203   -0.450919   -0.365062  0.00247788
         204   -0.442929   -0.365444  0.00249496
         205   -0.412297   -0.365672  0.00249323
         206   -0.368028   -0.365683  0.00248116
