#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.252333    0.252333           0
           2    0.251981    0.252157 0.000124626
           3    0.249993    0.251436 0.000594886
           4     0.24542    0.249932  0.00137667
           5    0.246949    0.249335  0.00122375
           6     0.24798     0.24911  0.00104042
           7    0.250886    0.249363 0.000922236
           8    0.253825    0.249921  0.00096092
           9    0.254325     0.25041 0.000970759
          10    0.248502     0.25022 0.000892245
          11    0.248427    0.250057 0.000825882
          12    0.248213    0.249903 0.000771212
          13    0.250618    0.249958 0.000713849
          14    0.249145      0.2499 0.000665219
          15    0.248839    0.249829 0.000624619
          16    0.251916     0.24996 0.000599037
          17     0.24927    0.249919 0.000565172
          18    0.249224     0.24988 0.000535092
          19    0.249022    0.249835 0.000508832
          20    0.247572    0.249722  0.00049581
