#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.052062    0.052062           0
           2    0.039212    0.045637  0.00454316
           3    0.045692   0.0456553  0.00302881
           4    0.050388   0.0468385  0.00249201
           5     0.04557   0.0465848  0.00200648
           6    0.034238    0.044527  0.00251487
           7    0.048246   0.0450583  0.00221101
           8    0.041334   0.0445928  0.00198304
           9    0.037202   0.0437716  0.00192524
          10    0.042974   0.0436918  0.00173437
          11    0.040094   0.0433647  0.00160724
          12      0.0393    0.043026  0.00150858
          13    0.040734   0.0428497   0.0014028
          14    0.033684    0.042195  0.00144733
          15    0.041918   0.0421765  0.00135096
          16    0.044938   0.0423491   0.0012775
          17     0.04135   0.0422904  0.00120371
          18    0.047352   0.0425716  0.00116922
          19    0.042882   0.0425879   0.0011078
          20    0.039954   0.0424562   0.0010602
