#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.5556     -0.5556           0
           2   -0.551628   -0.553614  0.00140431
           3   -0.554308   -0.553845 0.000955073
           4   -0.556136   -0.554418 0.000871236
           5   -0.555204   -0.554575  0.00071103
           6   -0.552068   -0.554157 0.000704696
           7     -0.5574   -0.554621 0.000740797
           8    -0.55338   -0.554466  0.00066423
           9   -0.552672   -0.554266 0.000619599
          10   -0.554596   -0.554299 0.000558516
          11    -0.55466   -0.554332 0.000508704
          12   -0.556196   -0.554487 0.000489453
          13   -0.554504   -0.554489 0.000451805
          14   -0.555896   -0.554589 0.000430571
          15   -0.552704   -0.554463 0.000419808
          16   -0.553724   -0.554417 0.000396105
          17   -0.553812   -0.554382 0.000374402
          18   -0.556252   -0.554486 0.000367738
          19   -0.556592   -0.554596 0.000364713
          20   -0.552456   -0.554489 0.000361838
