#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.24105     2.24105           0
           2     2.15324     2.19715   0.0310438
           3     2.19519     2.19649   0.0207027
           4     2.16431     2.18845   0.0170194
           5     2.21331     2.19342   0.0143235
           6     2.11817     2.18088   0.0165391
           7      2.1698      2.1793    0.014252
           8     2.20447     2.18244   0.0128133
           9     2.22749     2.18745   0.0123286
          10     2.17467     2.18617   0.0111618
          11      2.1439     2.18233   0.0107883
          12     2.20962      2.1846   0.0101262
          13     2.15865     2.18261  0.00954199
          14     2.20085     2.18391  0.00894899
          15     2.20817     2.18553  0.00849736
          16     2.10736     2.18064  0.00926491
          17     2.15068     2.17888  0.00888596
          18     2.16534     2.17813  0.00842404
          19     2.19719     2.17913  0.00804018
          20     2.12599     2.17647  0.00806534
