#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.038719    0.038719           0
           2      0.0342   0.0364595  0.00159771
           3    0.037906   0.0369417  0.00113557
           4    0.034228   0.0362633  0.00103467
           5    0.034806   0.0359718 0.000867812
           6      0.0251   0.0341598  0.00180527
           7    0.032656    0.033945  0.00156011
           8    0.039366   0.0346226  0.00150508
           9    0.041138   0.0353466  0.00150189
          10    0.037174   0.0355293  0.00136277
          11    0.029236   0.0349572  0.00135366
          12    0.031236   0.0346471  0.00127588
          13    0.040302   0.0350821  0.00124969
          14     0.03642   0.0351776  0.00116408
          15    0.029132   0.0347746  0.00115414
          16    0.042702   0.0352701  0.00118358
          17    0.035028   0.0352558  0.00111405
          18    0.032354   0.0350946  0.00106376
          19     0.03322   0.0349959  0.00101233
          20    0.031228   0.0348076 0.000979091
