#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.235752    0.235752           0
           2    0.231854    0.233803  0.00137799
           3    0.229442    0.232349   0.0015008
           4    0.225137    0.230546  0.00192495
           5    0.225421    0.229521  0.00179225
           6    0.228839    0.229407  0.00149713
           7     0.22936    0.229401  0.00128327
           8     0.23387    0.229959   0.0012385
           9    0.233155    0.230314  0.00115065
          10    0.230189    0.230302  0.00103565
          11     0.22918      0.2302 0.000946514
          12    0.232574    0.230398 0.000888079
          13    0.230408    0.230398 0.000819766
          14    0.227711    0.230207 0.000783362
          15    0.231356    0.230283 0.000734873
          16    0.231521    0.230361 0.000693005
          17    0.229332      0.2303 0.000654878
          18    0.230435    0.230308 0.000618539
          19    0.232498    0.230423 0.000596634
          20    0.228336    0.230318 0.000575857
