       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           2      1.8083     0.89646     0.89438  0.00147066
           2     1.83395    0.938533    0.941668  0.00221643
           2      1.8596    0.976723     0.98065  0.00277687
           2     1.88525      1.0192     1.02405  0.00343051
           2      1.9109     1.05818     1.05987  0.00118904
           2     1.93655      1.0928     1.09694   0.0029289
           2      1.9622     1.12437     1.13255  0.00578478
           2     1.98785     1.15441     1.16067  0.00442204
           2      2.0135     1.18259     1.18235  0.00017035
           2     2.03915      1.2009     1.20607  0.00365767
           2      2.0648     1.21268     1.21525  0.00181286
           2     2.09045     1.21419     1.21679  0.00183953
           2      2.1161     1.20962     1.20977 0.000105467
           2     2.14174     1.19382     1.19593  0.00149563
           2     2.16739     1.17496     1.17854   0.0025274
           2     2.19304     1.15322     1.15198 0.000876372
           2     2.21869     1.12648     1.12704 0.000396134
           2     2.24434      1.1074     1.09946  0.00561542
           2     2.26999     1.06711     1.06614 0.000687879
           2     2.29564     1.03993     1.03735  0.00182699
           2     2.32129     1.01852     1.01123    0.005156
           2     2.34694    0.994339    0.987482  0.00484847
           2     2.37259    0.970558    0.965265  0.00374286
           2     2.39824    0.951474    0.945909  0.00393516
           2     2.42389    0.936539    0.929878  0.00470974
           2     2.44954    0.919913    0.914251  0.00400311
           2     2.47519    0.907874    0.905044   0.0020009
           2     2.50084     0.89507    0.892643  0.00171567
           2     2.52649    0.884418     0.88577  0.00095626
           2     2.55214    0.883569    0.883947 0.000267419
           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263 1.94523e-05  6.4841e-06 5.29424e-06
           3    0.884913 0.000917052  0.00112492 0.000154987
           3    0.910562   0.0247883   0.0244419 0.000187103
           3    0.936212    0.165108    0.162726  0.00191776
           3    0.961861    0.555977    0.557851   0.0014541
           3    0.987511     1.20146      1.1939  0.00645981
           3     1.01316     1.87974     1.86206  0.00837038
           3     1.03881     2.32335     2.32817  0.00203377
           3     1.06446     2.55813     2.55405  0.00850909
           3     1.09011     2.55089     2.54576   0.0021432
           3     1.11576     2.39611     2.40497  0.00381236
           3     1.14141     2.18675     2.20276  0.00799449
           3     1.16706     1.97479     1.97462  0.00291635
           3     1.19271     1.75242      1.7617  0.00409654
           3     1.21836     1.55689     1.56482  0.00350681
           3     1.24401     1.39136     1.39599  0.00225897
           3     1.26966     1.25036     1.25046  0.00216133
           3     1.29531      1.1202     1.12853  0.00367669
