#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.034791    0.034791           0
           2     0.03117   0.0329805  0.00128022
           3    0.034668    0.033543 0.000969207
           4    0.028442   0.0322678  0.00132215
           5    0.026708   0.0311558  0.00145187
           6    0.020702   0.0294135  0.00199838
           7    0.029644   0.0294464  0.00171317
           8    0.037792   0.0304896  0.00178866
           9    0.037544   0.0312734  0.00175327
          10    0.034984   0.0316445  0.00161673
          11      0.0247   0.0310132  0.00158824
          12    0.026622   0.0306473  0.00149745
          13    0.037258   0.0311558  0.00146606
          14    0.031964   0.0312135  0.00136248
          15     0.02467   0.0307773  0.00133966
          16    0.039218   0.0313048  0.00135583
          17     0.03058   0.0312622  0.00127675
          18    0.029442   0.0311611  0.00120982
          19    0.030006   0.0311003  0.00114767
          20     0.02647   0.0308688  0.00111339
