#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.218779    0.218779           0
           2    0.215286    0.217033  0.00123493
           3    0.213014    0.215693  0.00136895
           4    0.208996    0.214019  0.00177674
           5    0.208984    0.213012  0.00168269
           6    0.214817    0.213313  0.00142887
           7    0.211238    0.213016  0.00125512
           8    0.215641    0.213344   0.0011403
           9     0.21315    0.213323   0.0010138
          10    0.214978    0.213488 0.000925837
          11    0.211132    0.213274 0.000866103
          12    0.213114    0.213261  0.00079403
          13    0.211331    0.213112 0.000746701
          14    0.210591    0.212932 0.000714749
          15    0.213703    0.212983 0.000668943
          16    0.212926     0.21298 0.000627144
          17    0.214113    0.213047 0.000593785
          18    0.214134    0.213107 0.000563865
          19    0.214537    0.213182 0.000539189
          20     0.20895    0.212971 0.000552195
