

New grid search run:
Combination ID=1: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=5, Layers=1, Final training loss=0.13182854652404785, Final validation loss=0.13074061274528503, Final training metric=0.13182854652404785, Final validation metric=0.13074061274528503, Number of parameters=21
Combination ID=2: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=5, Layers=2, Final training loss=0.09590943902730942, Final validation loss=0.09239090234041214, Final training metric=0.09590943902730942, Final validation metric=0.09239090234041214, Number of parameters=51
Combination ID=3: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=5, Layers=3, Final training loss=0.12132950127124786, Final validation loss=0.12130440026521683, Final training metric=0.12132950127124786, Final validation metric=0.12130440026521683, Number of parameters=81
Combination ID=4: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=10, Layers=1, Final training loss=0.1209293007850647, Final validation loss=0.11807898432016373, Final training metric=0.1209293007850647, Final validation metric=0.11807898432016373, Number of parameters=41
Combination ID=5: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=10, Layers=2, Final training loss=0.07344162464141846, Final validation loss=0.06768368184566498, Final training metric=0.07344162464141846, Final validation metric=0.06768368184566498, Number of parameters=151
Combination ID=6: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=10, Layers=3, Final training loss=0.016493747010827065, Final validation loss=0.014821543358266354, Final training metric=0.016493747010827065, Final validation metric=0.014821543358266354, Number of parameters=261
Combination ID=7: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=20, Layers=1, Final training loss=0.10420523583889008, Final validation loss=0.1059180200099945, Final training metric=0.10420523583889008, Final validation metric=0.1059180200099945, Number of parameters=81
Combination ID=8: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=20, Layers=2, Final training loss=0.03825509548187256, Final validation loss=0.03843803331255913, Final training metric=0.03825509548187256, Final validation metric=0.03843803331255913, Number of parameters=501
Combination ID=9: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=20, Layers=3, Final training loss=0.03373412787914276, Final validation loss=0.03875746205449104, Final training metric=0.03373412787914276, Final validation metric=0.03875746205449104, Number of parameters=921
Combination ID=10: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=5, Layers=1, Final training loss=0.14756782352924347, Final validation loss=0.13646239042282104, Final training metric=0.14756782352924347, Final validation metric=0.13646239042282104, Number of parameters=21
Combination ID=11: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=5, Layers=2, Final training loss=0.03745000436902046, Final validation loss=0.04117240756750107, Final training metric=0.03745000436902046, Final validation metric=0.04117240756750107, Number of parameters=51
Combination ID=12: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=5, Layers=3, Final training loss=0.07164698839187622, Final validation loss=0.08314105123281479, Final training metric=0.07164698839187622, Final validation metric=0.08314105123281479, Number of parameters=81
Combination ID=13: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=10, Layers=1, Final training loss=0.0521259568631649, Final validation loss=0.055287934839725494, Final training metric=0.0521259568631649, Final validation metric=0.055287934839725494, Number of parameters=41
Combination ID=14: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=10, Layers=2, Final training loss=0.0171380452811718, Final validation loss=0.015210498124361038, Final training metric=0.0171380452811718, Final validation metric=0.015210498124361038, Number of parameters=151
Combination ID=15: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=10, Layers=3, Final training loss=0.011963014490902424, Final validation loss=0.012845621444284916, Final training metric=0.011963014490902424, Final validation metric=0.012845621444284916, Number of parameters=261
