sigma,run,epochs,train_loss,val_loss
2.0,1,83,5.001706600189209,4.54063081741333
2.0,2,83,4.989581108093262,3.6410436630249023
2.0,3,83,4.423452854156494,5.8319976329803467
2.0,4,83,3.592858076095581,5.872187614440918
2.0,5,83,4.5649590492248535,3.3493165969848633
2.0,6,83,3.9536490440368652,4.329157829284668
2.0,7,83,4.3203840255737305,3.989081621170044
2.0,8,83,4.079246997833252,3.2571702003479004
2.0,9,83,3.4452216625213623,5.5331358909606934
2.0,10,83,3.7705767154693604,4.460515975952148
1.8,1,83,3.3249733448028564,4.3629350662231445
1.8,2,83,2.7232861518859863,3.4609832763671875
1.8,3,83,3.1050968170166016,3.7728652954101562
1.8,4,83,2.5961313247680664,4.104409694671631
1.8,5,83,3.848856210708618,4.349350452423096
1.8,6,83,3.670020341873169,4.276365756988525
1.8,7,83,3.6628847122192383,2.656461715698242
1.8,8,83,3.094015598297119,3.537510395050049
1.8,9,83,3.4490020275115967,2.749044179916382
1.8,10,83,4.529904842376709,3.451951265335083
1.6,1,83,2.3186731338500977,4.201930999755859
1.6,2,83,1.6437783241271973,3.028541326522827
1.6,3,83,2.2469332218170166,3.0185587406158447
1.6,4,83,2.4997756481170654,1.7725979089736938
1.6,5,83,3.0224339962005615,1.6634107828140259
1.6,6,83,2.267397165298462,2.0437510013580322
1.6,7,83,2.046494483947754,2.100507974624634
1.6,8,83,2.4498989582061768,3.4975268840789795
1.6,9,83,2.338632822036743,2.496157169342041
1.6,10,83,2.193241834640503,2.6134116649627686
1.4,1,83,1.8034542798995972,2.514540910720825
1.4,2,83,1.8122169971466064,2.026338577270508
1.4,3,83,2.329345226287842,1.5864081382751465
1.4,4,83,1.6811386346817017,1.7978357076644897
1.4,5,83,2.0786826610565186,2.397441864013672
1.4,6,83,1.701462745666504,2.4471170902252197
1.4,7,83,1.6378679275512695,2.0099422931671143
1.4,8,83,1.8155375719070435,1.664310097694397
1.4,9,83,1.9654618501663208,2.069854974746704
1.4,10,83,2.392725944519043,1.2105296850204468
1.2,1,83,1.6645469665527344,0.9703910946846008
1.2,2,83,1.7211410999298096,1.5818939208984375
1.2,3,83,1.4619355201721191,1.9749929904937744
1.2,4,83,1.667350172996521,1.7750234603881836
1.2,5,83,1.5841114521026611,1.5528364181518555
1.2,6,83,1.3828364610671997,1.1463836431503296
1.2,7,83,1.4943903684616089,0.9393356442451477
1.2,8,83,1.494631052017212,1.7451015710830688
1.2,9,83,1.412240743637085,1.1384737491607666
1.2,10,83,1.5661804676055908,1.3188410997390747
1.0,1,83,1.407994270324707,1.3644276857376099
1.0,2,83,1.025187373161316,0.9349484443664551
1.0,3,83,1.1502406597137451,1.0607271194458008
1.0,4,83,0.6975499987602234,1.2008813619613647
1.0,5,83,0.9424163103103638,1.5583322048187256
1.0,6,83,1.0056709051132202,0.9007070660591125
1.0,7,83,0.8504921793937683,0.974118709564209
1.0,8,83,1.0206929445266724,0.910820722579956
1.0,9,83,0.8966373205184937,0.7890486121177673
1.0,10,83,0.8830665349960327,1.1033817529678345
0.7999999999999998,1,83,0.6221151947975159,0.9154050350189209
