

New grid search run:
Combination ID=25: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=adam, Neurons=20, Layers=1, Final training loss=0.06967431306838989, Final validation loss=0.06585808098316193, Final training metric=0.06967432051897049, Final validation metric=0.06585808098316193, Number of parameters=61
Combination ID=26: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=adam, Neurons=20, Layers=2, Final training loss=0.011688180267810822, Final validation loss=0.013342058286070824, Final training metric=0.011688180267810822, Final validation metric=0.013342058286070824, Number of parameters=481
Combination ID=27: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=adam, Neurons=20, Layers=3, Final training loss=0.011366449296474457, Final validation loss=0.013955994509160519, Final training metric=0.011366449296474457, Final validation metric=0.013955994509160519, Number of parameters=901
Combination ID=28: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=5, Layers=1, Final training loss=0.614535927772522, Final validation loss=0.590652585029602, Final training metric=0.614535927772522, Final validation metric=0.590652585029602, Number of parameters=16
Combination ID=29: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=5, Layers=2, Final training loss=0.6198967695236206, Final validation loss=0.6052020192146301, Final training metric=0.6198967695236206, Final validation metric=0.6052020192146301, Number of parameters=46
Combination ID=30: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=5, Layers=3, Final training loss=0.6202305555343628, Final validation loss=0.5961039066314697, Final training metric=0.6202305555343628, Final validation metric=0.5961039066314697, Number of parameters=76
Combination ID=31: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=10, Layers=1, Final training loss=0.6192070245742798, Final validation loss=0.6095763444900513, Final training metric=0.6192070245742798, Final validation metric=0.6095763444900513, Number of parameters=31
Combination ID=32: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=10, Layers=2, Final training loss=0.6223906874656677, Final validation loss=0.6178078055381775, Final training metric=0.6223906874656677, Final validation metric=0.6178078055381775, Number of parameters=141
Combination ID=33: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=10, Layers=3, Final training loss=0.6242823600769043, Final validation loss=0.6222941279411316, Final training metric=0.6242823600769043, Final validation metric=0.6222941279411316, Number of parameters=251
Combination ID=34: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=20, Layers=1, Final training loss=0.6179134249687195, Final validation loss=0.6076074242591858, Final training metric=0.6179134249687195, Final validation metric=0.6076074242591858, Number of parameters=61
Combination ID=35: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=20, Layers=2, Final training loss=0.6178438663482666, Final validation loss=0.5956143140792847, Final training metric=0.6178438663482666, Final validation metric=0.5956143140792847, Number of parameters=481
Combination ID=36: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=sgd, Neurons=20, Layers=3, Final training loss=0.6200459599494934, Final validation loss=0.6292065382003784, Final training metric=0.6200459599494934, Final validation metric=0.6292065382003784, Number of parameters=901
Combination ID=37: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=5, Layers=1, Final training loss=0.6151150465011597, Final validation loss=0.6034748554229736, Final training metric=0.6151150465011597, Final validation metric=0.6034748554229736, Number of parameters=16
Combination ID=38: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=5, Layers=2, Final training loss=0.6185473799705505, Final validation loss=0.6107754707336426, Final training metric=0.6185473799705505, Final validation metric=0.6107754707336426, Number of parameters=46
Combination ID=39: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=5, Layers=3, Final training loss=0.6200991272926331, Final validation loss=0.5952816009521484, Final training metric=0.6200991272926331, Final validation metric=0.5952816009521484, Number of parameters=76
Combination ID=40: Loss=mse, Metric=mse, Epochs=100, Activation=linear, Optimizer=rmsprop, Neurons=10, Layers=1, Final training loss=0.6157266497612, Final validation loss=0.5987312197685242, Final training metric=0.6157266497612, Final validation metric=0.5987312197685242, Number of parameters=31
