#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.435203    0.435203           0
           2    0.444885    0.440044  0.00342294
           3    0.418721    0.432936  0.00623583
           4    0.427188    0.431499  0.00483966
           5    0.428901     0.43098  0.00389952
           6    0.433945    0.431474  0.00328077
           7    0.434565    0.431915  0.00284166
           8    0.407016    0.428803  0.00382871
           9    0.442906     0.43037  0.00371014
          10    0.453145    0.432647  0.00397718
          11    0.419321    0.431436  0.00379566
          12    0.421893    0.430641  0.00356169
          13    0.415425     0.42947  0.00347471
          14    0.417987     0.42865  0.00332192
          15    0.437718    0.429255  0.00315498
          16    0.406694    0.427845  0.00325768
          17    0.448439    0.429056  0.00328357
          18    0.437467    0.429523  0.00313422
          19    0.460626     0.43116  0.00336975
          20    0.444191    0.431812  0.00326364
