#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59693     1.59693           0
           2     1.59661     1.59677 0.000110242
           3     1.59628     1.59661 0.000152421
           4     1.59667     1.59662 0.000115249
           5      1.5964     1.59658 0.000100764
           6     1.59654     1.59657 8.41748e-05
           7     1.59625     1.59653 8.38072e-05
           8     1.59652     1.59653 7.33354e-05
           9     1.59654     1.59653 6.52143e-05
          10     1.59654     1.59653  5.8712e-05
          11      1.5966     1.59654 5.37577e-05
          12     1.59624     1.59651 5.46887e-05
          13      1.5962     1.59649 5.53744e-05
          14     1.59619     1.59647 5.52475e-05
          15     1.59568     1.59641  7.2324e-05
          16     1.59533     1.59635 9.44523e-05
          17     1.59475     1.59625  0.00012713
          18     1.59398     1.59613 0.000171779
          19     1.59361     1.59599 0.000207475
          20     1.59306     1.59585 0.000243504
          21     1.59188     1.59566 0.000296113
          22     1.59077     1.59544 0.000356355
          23     1.59076     1.59523 0.000394574
          24     1.59161     1.59508 0.000405921
          25     1.59099     1.59492 0.000421342
