#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.03368     2.03368           0
           2     2.03655     2.03512   0.0010138
           3     2.04787     2.03937  0.00353678
           4     2.08469      2.0507   0.0101643
           5     2.14084     2.06873   0.0180588
           6     2.14683     2.08174   0.0191747
           7     2.16579     2.09375   0.0198415
           8     2.20337     2.10745   0.0215801
           9     2.23292     2.12139   0.0232533
          10     2.23034     2.13229   0.0233412
          11     2.25005       2.143   0.0235468
          12     2.25032     2.15194   0.0232209
          13     2.24269     2.15892   0.0224596
          14     2.19913     2.16179   0.0210382
          15     2.20583     2.16473   0.0198394
          16     2.24728     2.16989   0.0192587
          17      2.3157     2.17846   0.0199446
          18     2.41895     2.19183    0.022878
          19     2.52257     2.20923   0.0275106
          20       2.626     2.23007   0.0330994
          21      2.7449     2.25459   0.0395741
          22     2.97378     2.28728   0.0494678
          23     3.08505     2.32196   0.0582212
          24      3.2116     2.35903   0.0665577
          25      3.0269     2.38575   0.0690488
