#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     1.59679     1.59676 1.38185e-05
         153     1.59639     1.59675 1.39309e-05
         154     1.59692     1.59676 1.38823e-05
         155     1.59708     1.59676 1.39501e-05
         156     1.59667     1.59676 1.38719e-05
         157     1.59677     1.59676 1.37836e-05
         158     1.59646     1.59676 1.38203e-05
         159     1.59663     1.59675 1.37568e-05
         160     1.59653     1.59675 1.37455e-05
         161     1.59653     1.59675 1.37273e-05
         162      1.5967     1.59675  1.3646e-05
         163     1.59664     1.59675 1.35793e-05
         164     1.59672     1.59675 1.34977e-05
         165     1.59674     1.59675 1.34161e-05
         166     1.59682     1.59675 1.33417e-05
         167     1.59669     1.59675  1.3267e-05
         168     1.59668     1.59675 1.31954e-05
         169     1.59656     1.59675 1.31636e-05
         170     1.59655     1.59675 1.31364e-05
         171     1.59679     1.59675  1.3062e-05
         172     1.59686     1.59675 1.30022e-05
         173     1.59689     1.59675 1.29521e-05
         174     1.59689     1.59675 1.29029e-05
         175     1.59692     1.59675  1.2865e-05
         176     1.59664     1.59675  1.2807e-05
         177     1.59674     1.59675 1.27348e-05
         178      1.5966     1.59675 1.26908e-05
         179     1.59696     1.59675 1.26715e-05
         180     1.59649     1.59675 1.26821e-05
         181     1.59668     1.59675 1.26181e-05
         182     1.59684     1.59675 1.25591e-05
         183     1.59669     1.59675 1.24945e-05
         184     1.59654     1.59675 1.24773e-05
         185     1.59681     1.59675 1.24151e-05
         186     1.59682     1.59675 1.23537e-05
         187     1.59651     1.59675 1.23547e-05
         188     1.59675     1.59675  1.2289e-05
         189     1.59678     1.59675 1.22248e-05
         190     1.59691     1.59675 1.21897e-05
         191     1.59701     1.59675    1.22e-05
         192      1.5968     1.59675 1.21394e-05
         193     1.59674     1.59675 1.20766e-05
         194     1.59678     1.59675 1.20151e-05
         195     1.59692     1.59675 1.19838e-05
         196     1.59665     1.59675 1.19336e-05
         197     1.59663     1.59675 1.18897e-05
         198     1.59631     1.59675 1.20311e-05
         199      1.5967     1.59675 1.19728e-05
         200     1.59686     1.59675 1.19271e-05
         201     1.59662     1.59675 1.18838e-05
         202     1.59658     1.59675  1.1855e-05
         203     1.59663     1.59675 1.18104e-05
         204     1.59687     1.59675 1.17676e-05
         205     1.59678     1.59675 1.17115e-05
         206     1.59705     1.59675 1.17462e-05
         207     1.59664     1.59675 1.17015e-05
         208     1.59676     1.59675 1.16454e-05
