#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.275136    0.275136           0
           2    0.270644     0.27289   0.0015881
           3    0.274286    0.273355   0.0011248
           4    0.268078    0.272036   0.0014203
           5    0.268206     0.27127  0.00132684
           6    0.268238    0.270765  0.00119806
           7     0.27093    0.270788  0.00102714
           8    0.272222    0.270968 0.000914241
           9    0.276117     0.27154   0.0009754
          10    0.271549    0.271541  0.00087786
          11    0.268808    0.271292 0.000832456
          12    0.270932    0.271262 0.000763624
          13    0.269799     0.27115 0.000713127
          14    0.270121    0.271076 0.000665965
          15    0.267922    0.270866 0.000653915
          16    0.268647    0.270727 0.000627579
          17    0.267881     0.27056 0.000612582
          18    0.268368    0.270438 0.000590524
          19    0.269169    0.270371 0.000563208
          20    0.266491    0.270177  0.00056749
