#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.047613    0.047613           0
           2    0.045962   0.0467875 0.000583717
           3      0.0492   0.0475917 0.000763254
           4    0.041506   0.0460703  0.00143657
           5    0.045366   0.0459294  0.00115614
           6    0.036788   0.0444058  0.00169192
           7    0.040474   0.0438441  0.00154064
           8    0.053826   0.0450919  0.00178311
           9     0.04982   0.0456172  0.00166058
          10    0.040978   0.0451533  0.00155798
          11    0.033676   0.0441099  0.00173081
          12    0.039844   0.0437544  0.00162268
          13     0.04889   0.0441495  0.00154519
          14     0.05241   0.0447395  0.00154337
          15     0.03419   0.0440362  0.00159268
          16    0.053382   0.0446203  0.00159666
          17    0.045574   0.0446764  0.00150373
          18    0.046888   0.0447993   0.0014252
          19    0.044646   0.0447912  0.00135021
          20    0.035922   0.0443478  0.00135357
