#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.555213   -0.555213           0
           2    -0.55278   -0.553997 0.000860195
           3    -0.55506   -0.554351 0.000642371
           4     -0.5561   -0.554788 0.000612781
           5   -0.556556   -0.555142 0.000583368
           6   -0.552892   -0.554767 0.000594558
           7     -0.5558   -0.554914 0.000527623
           8   -0.554328   -0.554841 0.000466734
           9   -0.553568     -0.5547 0.000435785
          10   -0.553696   -0.554599 0.000403599
          11   -0.554324   -0.554574 0.000367683
          12   -0.555968    -0.55469 0.000354913
          13   -0.555688   -0.554767 0.000335805
          14   -0.551868    -0.55456 0.000370204
          15    -0.55364   -0.554499 0.000350569
          16   -0.556144   -0.554602 0.000343408
          17    -0.55426   -0.554581 0.000323795
          18   -0.555368   -0.554625 0.000308741
          19   -0.554848   -0.554637 0.000292714
          20   -0.551812   -0.554496  0.00031029
