#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.419365    0.419365           0
           2    0.421688    0.420527 0.000821092
           3    0.417615    0.419556 0.000963093
           4    0.424193    0.420715  0.00123673
           5    0.417908    0.420154  0.00110957
           6    0.420568    0.420223 0.000926792
           7    0.414559    0.419414  0.00109184
           8    0.411777    0.418459  0.00130767
           9     0.43248    0.420017  0.00187307
          10    0.409889    0.419004  0.00194034
          11    0.421899    0.419267   0.0017817
          12    0.428042    0.419999  0.00177695
          13    0.406664    0.418973  0.00191354
          14    0.426577    0.419516  0.00185234
          15    0.421914    0.419676  0.00173573
          16    0.414065    0.419325  0.00166229
          17    0.424752    0.419644  0.00159487
          18    0.430308    0.420237  0.00161254
          19      0.4175    0.420093  0.00153409
          20    0.431799    0.420678  0.00156507
