#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.384674   -0.404296  0.00404858
         153   -0.368917   -0.404064  0.00402871
         154    -0.36823   -0.403832  0.00400927
         155   -0.365961   -0.403587  0.00399084
         156    -0.38674   -0.403479  0.00396672
         157   -0.400843   -0.403462  0.00394149
         158   -0.393208   -0.403398  0.00391707
         159   -0.375637   -0.403223  0.00389633
         160   -0.413617   -0.403288  0.00387252
         161   -0.453177   -0.403598  0.00386084
         162   -0.482122   -0.404083  0.00386732
         163   -0.465924   -0.404462  0.00386216
         164   -0.451631    -0.40475   0.0038493
         165    -0.44102   -0.404969  0.00383224
         166   -0.435055   -0.405151  0.00381344
         167   -0.427931   -0.405287  0.00379304
         168    -0.43644   -0.405472    0.003775
         169    -0.43541    -0.40565  0.00375681
         170   -0.436372    -0.40583  0.00373906
         171   -0.455639   -0.406122  0.00372852
         172   -0.451176   -0.406384  0.00371603
         173   -0.419724   -0.406461  0.00369535
         174   -0.376058   -0.406286  0.00367825
         175   -0.367779   -0.406066   0.0036638
         176   -0.368139    -0.40585  0.00364932
         177   -0.370156   -0.405649  0.00363427
         178   -0.380439   -0.405507  0.00361661
         179   -0.399436   -0.405473  0.00359656
         180   -0.411389   -0.405506  0.00357673
         181    -0.43336    -0.40566  0.00356028
         182   -0.432661   -0.405808  0.00354381
         183   -0.477404     -0.4062  0.00354597
         184   -0.458563   -0.406484   0.0035381
         185   -0.433872   -0.406632  0.00352207
         186   -0.420765   -0.406708  0.00350396
         187   -0.433891   -0.406853  0.00348823
         188    -0.42566   -0.406954  0.00347111
         189   -0.367668   -0.406746  0.00345897
         190   -0.360244   -0.406501  0.00344941
         191   -0.360709   -0.406261  0.00343967
         192   -0.385415   -0.406153  0.00342347
         193   -0.386093   -0.406049  0.00340731
         194   -0.370457   -0.405865  0.00339468
         195     -0.3683   -0.405673  0.00338273
         196   -0.364161   -0.405461   0.0033721
         197   -0.419535   -0.405532  0.00335574
         198   -0.448562    -0.40575  0.00334582
         199   -0.423827    -0.40584  0.00333024
         200   -0.410322   -0.405863  0.00331366
         201    -0.39378   -0.405803  0.00329772
         202   -0.389378   -0.405721   0.0032824
         203   -0.393054   -0.405659  0.00326682
         204   -0.395501   -0.405609  0.00325119
         205   -0.385851   -0.405513  0.00323676
         206   -0.397905   -0.405476  0.00322126
         207   -0.366869   -0.405289  0.00321109
         208    -0.33466    -0.40495  0.00321355
         209    -0.33007   -0.404591  0.00321809
         210   -0.333191   -0.404251  0.00322068
         211   -0.346852   -0.403979  0.00321688
         212   -0.355776   -0.403752  0.00320973
         213   -0.357043   -0.403533  0.00320215
         214   -0.354424   -0.403303  0.00319539
         215   -0.351475   -0.403062  0.00318961
         216   -0.356814   -0.402848  0.00318202
         217   -0.353642   -0.402621  0.00317543
         218   -0.342768   -0.402347  0.00317271
         219   -0.360185   -0.402154  0.00316406
         220   -0.385181   -0.402077  0.00315062
         221   -0.398964   -0.402063  0.00313639
         222   -0.371381   -0.401925  0.00312531
         223   -0.348792   -0.401687  0.00312036
         224   -0.336133   -0.401394  0.00312012
         225   -0.363504   -0.401226   0.0031108
         226   -0.405401   -0.401244  0.00309709
         227   -0.443604   -0.401431  0.00308906
         228   -0.427531   -0.401545  0.00307763
         229   -0.405393   -0.401562  0.00306424
         230   -0.377965   -0.401459  0.00305263
         231   -0.334104   -0.401168  0.00305331
         232   -0.340198   -0.400905  0.00305144
         233   -0.374985   -0.400794  0.00304037
         234    -0.43249   -0.400929   0.0030304
         235   -0.406789   -0.400954   0.0030176
         236   -0.369954   -0.400823  0.00300767
         237   -0.341449   -0.400572   0.0030054
         238   -0.332939   -0.400288  0.00300618
         239   -0.345729    -0.40006  0.00300225
         240   -0.375972   -0.399959  0.00299142
         241   -0.360533   -0.399796  0.00298348
         242   -0.352992   -0.399602  0.00297741
         243   -0.345594    -0.39938  0.00297344
         244    -0.38995   -0.399341  0.00296151
         245   -0.419146   -0.399422  0.00295052
         246    -0.41214   -0.399474  0.00293898
         247   -0.367247   -0.399344  0.00292998
         248   -0.333634   -0.399079  0.00293012
         249   -0.340032   -0.398841  0.00292793
         250   -0.342938   -0.398618  0.00292475
