#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.647444   -0.647444           0
           2   -0.644712   -0.646078 0.000965908
           3   -0.646308   -0.646155 0.000646974
           4   -0.647116   -0.646395 0.000527986
           5   -0.646596   -0.646435 0.000423916
           6   -0.646288   -0.646411 0.000353973
           7   -0.648792   -0.646751 0.000437323
           8   -0.645592   -0.646606  0.00040594
           9   -0.645364   -0.646468 0.000383576
          10   -0.646364   -0.646458 0.000345359
          11   -0.647536   -0.646556 0.000327582
          12   -0.646552   -0.646555 0.000300284
          13   -0.646824   -0.646576 0.000277895
          14    -0.64532   -0.646486 0.000272142
          15   -0.646292   -0.646473 0.000254307
          16   -0.644784   -0.646368 0.000259407
          17   -0.646392   -0.646369 0.000244152
          18   -0.649148   -0.646524 0.000275099
          19   -0.645732   -0.646482 0.000263756
          20   -0.644636    -0.64639 0.000266227
