#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.56692     3.56692           0
           2     3.58032     3.57362  0.00473762
           3     3.52239     3.55655   0.0142969
           4      3.5012     3.54271   0.0160798
           5     3.36105     3.50638   0.0349503
           6     3.67593     3.53463   0.0389066
           7     3.58435     3.54174   0.0339907
           8     3.57842     3.54632   0.0300496
           9     3.56007     3.54785   0.0267495
          10     3.64239      3.5573   0.0256909
          11     3.45182     3.54771   0.0250813
          12     3.52574     3.54588    0.023058
          13     3.63911     3.55305   0.0223716
          14      3.5925     3.55587   0.0209503
          15     3.52511     3.55382   0.0196537
          16     3.50322     3.55066   0.0186781
          17     3.50738     3.54811    0.017752
          18     3.60168     3.55109   0.0170134
          19      3.4466     3.54559   0.0169835
          20      3.5155     3.54409   0.0162009
