#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.725877   -0.725877           0
           2   -0.720648   -0.723263  0.00184873
           3   -0.723312   -0.723279  0.00123256
           4   -0.724232   -0.723517 0.000947167
           5   -0.721828   -0.723179 0.000815766
           6   -0.720044   -0.722657 0.000830481
           7   -0.722888    -0.72269 0.000712497
           8   -0.718372    -0.72215 0.000802227
           9   -0.719628    -0.72187 0.000760463
          10   -0.718792   -0.721562 0.000744102
          11   -0.721252   -0.721534  0.00067699
          12   -0.720076   -0.721412 0.000631381
          13     -0.7216   -0.721427 0.000582979
          14   -0.720996   -0.721396 0.000542149
          15   -0.720784   -0.721355 0.000507539
          16   -0.723064   -0.721462 0.000486924
          17   -0.720812   -0.721424  0.00045978
          18     -0.7216   -0.721434 0.000434341
          19     -0.7223   -0.721479 0.000413868
          20   -0.719744   -0.721392 0.000402166
