#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.75136     5.75136           0
           2     5.89464       5.823   0.0506568
           3     6.02103     5.88901   0.0636021
           4     5.52105     5.79702   0.0928547
           5     5.42141      5.7219    0.100163
           6     5.78961     5.73318   0.0841023
           7     5.44152     5.69152     0.08176
           8     5.34412     5.64809   0.0822674
           9     5.61519     5.64444   0.0732078
          10     5.13142     5.59314   0.0819131
          11     5.45848     5.58089   0.0753757
          12     5.53013     5.57666   0.0692129
          13     5.35341     5.55949   0.0659851
          14     5.59958     5.56235    0.061334
          15     5.38333     5.55042   0.0583946
          16     5.59775     5.55338   0.0548198
          17     5.77412     5.56636   0.0531107
          18     5.65854     5.57148   0.0504064
          19     5.84736       5.586   0.0498008
          20     5.36948     5.57518   0.0484732
