Progressive_r_uniform_fundamental;Progressive_r_uniform_fundamental_error;Progressive_r_uniform_excited;Progressive_r_uniform_excited_error;Progressive_r_gaussian_fundamental;Progressive_r_gaussian_fundamental_error;Progressive_r_gaussian_excited;Progressive_r_gaussian_excited_error
1.49975;0.00148171;5.00253;0.00367516;1.49976;0.00137605;4.99789;0.00433851
1.49987;0.00146613;5.00192;0.00367599;1.49975;0.00135688;4.99759;0.00428866
1.4999;0.00144614;5.00196;0.00362551;1.4998;0.00133927;4.99838;0.0043035
1.50001;0.00143076;5.00136;0.00362494;1.50001;0.00133743;4.9989;0.00427599
1.49985;0.00142042;5.00155;0.00358097;1.50013;0.00132437;4.99887;0.00421866
1.50024;0.00145384;5.00207;0.00357248;1.50008;0.00130773;4.99908;0.00416819
1.50019;0.00143563;5.00158;0.0035608;1.50008;0.00129064;4.99891;0.00411718
1.50033;0.00142378;5.00169;0.00351686;1.5002;0.00127981;4.99917;0.00407199
1.50043;0.00140906;5.00174;0.00347233;1.50016;0.00126415;4.99881;0.00403606
1.50037;0.0013924;5.00191;0.00343319;1.49975;0.00131411;4.99876;0.00398557
1.50049;0.00137995;5.00187;0.00339084;1.49986;0.00130187;4.99879;0.00393615
1.5003;0.00137582;5.00174;0.00335153;1.4995;0.00133366;4.99852;0.00389721
1.50034;0.00135962;5.0016;0.00331391;1.4994;0.00132157;4.99851;0.00385
1.50035;0.00134344;5.00134;0.00328481;1.49938;0.00130589;4.9975;0.00393394
1.50048;0.00133404;5.00092;0.00327337;1.49955;0.00130188;4.99759;0.00388847
1.50058;0.00132177;5.00163;0.00331241;1.49952;0.00128705;4.99803;0.00386784
1.50059;0.0013066;5.00124;0.00329744;1.49955;0.00127251;4.99787;0.0038264
1.50053;0.00129333;5.00089;0.00327846;1.4995;0.00125881;4.99804;0.00378644
1.50048;0.00127962;5.00089;0.00324142;1.49976;0.00127113;4.99771;0.00375833
1.50006;0.00133279;5.00056;0.0032222;1.49972;0.00125767;4.9978;0.00371745
1.50021;0.00132652;5.00094;0.00320921;1.49998;0.00127178;4.99759;0.00368241
1.5002;0.00131206;5.00132;0.00319698;1.4999;0.00126081;4.99817;0.00368734
1.50018;0.00129813;5.00135;0.00316254;1.49957;0.00128898;4.9978;0.00366539
1.50005;0.00129039;5.00159;0.00313799;1.49938;0.00128987;4.99782;0.0036262
1.49996;0.00127967;5.00164;0.00310515;1.49945;0.00127839;4.99819;0.00360698
1.49998;0.00126644;5.00161;0.00307282;1.49947;0.00126515;4.99822;0.0035694
1.50015;0.00126461;5.00158;0.00304112;1.49939;0.00125444;4.99855;0.00354767
1.50014;0.00125168;5.00191;0.00302804;1.4995;0.0012462;4.99865;0.00351279
1.50017;0.00123923;5.00147;0.00302942;1.49943;0.00123584;4.99934;0.00354465
1.50021;0.00122748;5.00153;0.00299974;1.49921;0.00124254;4.99917;0.00351353
