#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.9645      2.9645           0
           2     2.94673     2.95561  0.00628315
           3     2.92601     2.94575  0.00907932
           4     2.97691     2.95354  0.00958595
           5     2.82009     2.92685   0.0250734
           6     3.01035     2.94076   0.0244539
           7     2.92749     2.93887   0.0210339
           8     2.98685     2.94486   0.0192407
           9     2.86001     2.93544    0.019275
          10     2.92753     2.93465   0.0173637
          11      2.9326     2.93446   0.0157862
          12     2.93833     2.93478   0.0144739
          13      2.9853     2.93867   0.0138724
          14     2.89875     2.93582   0.0131712
          15     2.80537     2.92712   0.0148897
          16     2.90788     2.92592   0.0140076
          17     2.91926     2.92553   0.0131891
          18     3.01149      2.9303   0.0132928
          19     2.94929      2.9313   0.0126307
          20     2.83635     2.92655   0.0128605
