#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613884   -0.613884           0
           2    -0.61112   -0.612502 0.000977222
           3   -0.612548   -0.612517 0.000651601
           4   -0.616216   -0.613442 0.000938128
           5   -0.611676   -0.613089 0.000814282
           6    -0.61294   -0.613064 0.000678946
           7   -0.612808   -0.613027 0.000582937
           8   -0.611804   -0.612875  0.00052975
           9   -0.611528   -0.612725 0.000491562
          10   -0.613052   -0.612758 0.000443493
          11    -0.61298   -0.612778 0.000403636
          12   -0.613808   -0.612864 0.000379019
          13   -0.612412   -0.612829 0.000351453
          14    -0.61252   -0.612807 0.000327041
          15   -0.611284   -0.612705 0.000320609
          16   -0.612212   -0.612675  0.00030205
          17     -0.6124   -0.612658 0.000284714
          18   -0.616064   -0.612848 0.000325752
          19    -0.61376   -0.612896 0.000312127
          20   -0.610936   -0.612798 0.000311519
