#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.313409    0.313409           0
           2    0.317025    0.315217  0.00127848
           3    0.313624    0.314686 0.000956247
           4      0.3129     0.31424 0.000814795
           5    0.312073    0.313806 0.000758334
           6    0.318055    0.314514 0.000903996
           7    0.322329    0.315631   0.0012918
           8    0.316927    0.315793  0.00114045
           9    0.318112    0.316051  0.00104243
          10    0.315124    0.315958   0.0009423
          11    0.320886    0.316406 0.000957221
          12    0.316769    0.316436  0.00087793
          13    0.321841    0.316852 0.000903508
          14     0.31254    0.316544 0.000889919
          15    0.313527    0.316343 0.000853011
          16    0.315632    0.316298 0.000800853
          17    0.320812    0.316564 0.000796545
          18    0.310756    0.316241 0.000815032
          19     0.31375     0.31611 0.000782615
          20    0.319921    0.316301 0.000766324
