#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.939484   -0.939484           0
           2   -0.937816    -0.93865 0.000589727
           3   -0.927532   -0.934944  0.00305137
           4   -0.927404   -0.933059   0.0028111
           5    -0.93428   -0.933303  0.00225946
           6   -0.936624   -0.933857  0.00194949
           7   -0.931156   -0.933471  0.00170874
           8   -0.932796   -0.933386  0.00149723
           9   -0.937348   -0.933827  0.00139407
          10   -0.939484   -0.934392  0.00136464
          11   -0.929344   -0.933933  0.00131549
          12   -0.936372   -0.934137  0.00122146
          13    -0.93742   -0.934389  0.00115332
          14   -0.931448   -0.934179  0.00108991
          15   -0.931176   -0.933979  0.00103547
          16   -0.940084    -0.93436  0.00103868
          17   -0.934684    -0.93438 0.000977757
          18   -0.931188   -0.934202 0.000939376
          19   -0.936072   -0.934301 0.000895075
          20   -0.937868   -0.934479 0.000867912
