#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.433363    0.433363           0
           2    0.421249    0.427306  0.00428308
           3    0.450387       0.435  0.00690049
           4    0.419808    0.431202  0.00613204
           5    0.412834    0.427528  0.00590439
           6    0.433973    0.428602  0.00501707
           7    0.407648    0.425609  0.00511604
           8     0.41037    0.423704  0.00481813
           9     0.42989    0.424391  0.00433153
          10    0.425541    0.424506   0.0038999
          11    0.433296    0.425305   0.0036263
          12    0.446816    0.427098  0.00374103
          13    0.411675    0.425911   0.0036365
          14    0.422864    0.425694  0.00338325
          15    0.426297    0.425734  0.00315794
          16    0.423577    0.425599  0.00296345
          17    0.412764    0.424844   0.0028837
          18    0.415904    0.424348  0.00276594
          19    0.437635    0.425047  0.00270733
          20    0.408324    0.424211  0.00269799
