#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.409983    0.409983           0
           2    0.386504    0.398243  0.00830102
           3    0.377676    0.391388  0.00787139
           4     0.33673    0.377723   0.0132246
           5    0.384681    0.379115   0.0106526
           6     0.35862    0.375699  0.00940888
           7    0.368381    0.374654  0.00812262
           8    0.287958    0.363817   0.0123803
           9    0.346031     0.36184   0.0111613
          10    0.302289    0.355885   0.0115249
          11    0.343098    0.354723   0.0105357
          12    0.339862    0.353484  0.00973021
          13    0.339354    0.352398  0.00904223
          14    0.329286    0.350747  0.00854572
          15    0.334656    0.349674  0.00804306
          16    0.332174     0.34858  0.00761437
          17     0.30015    0.345731  0.00768093
          18    0.371598    0.347168  0.00738741
          19    0.362232    0.347961  0.00704101
          20    0.306963    0.335911    0.006981
