#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.961231   -0.961231           0
           2   -0.965024   -0.963127  0.00134103
           3   -0.966568   -0.964274  0.00129464
           4   -0.972504   -0.966332  0.00202917
           5   -0.963168   -0.965699  0.00171916
           6    -0.97086   -0.966559  0.00163371
           7   -0.973624   -0.967568  0.00168345
           8   -0.978336   -0.968914  0.00193776
           9   -0.971416   -0.969192  0.00174227
          10   -0.976788   -0.969952  0.00172569
          11   -0.971244   -0.970069   0.0015728
          12   -0.971252   -0.970168  0.00144482
          13   -0.973548   -0.970428  0.00135687
          14   -0.971688   -0.970518  0.00126294
          15    -0.97502   -0.970818  0.00121388
          16   -0.973288   -0.970972  0.00114779
          17   -0.976972   -0.971325  0.00113323
          18   -0.973384    -0.97144  0.00107603
          19     -0.9694   -0.971332  0.00102474
          20   -0.975816   -0.971557  0.00099772
