       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
           1   0.0699206      0.2555      0.2555           0
           1    0.209762      1.4305      1.4305           0
           1    0.349603      3.2875      3.2875           0
           1    0.489444      5.9575      5.9575           0
           1    0.629285      8.6165      8.6165           0
           1    0.769126     10.2205     10.2205           0
           1    0.908968      11.355      11.355           0
           1     1.04881      11.177      11.177           0
           1     1.18865      10.674      10.674           0
           1     1.32849       10.38       10.38           0
           1     1.46833       8.819       8.819           0
           1     1.60817      7.4605      7.4605           0
           1     1.74801      5.7035      5.7035           0
           1     1.88786      4.2445      4.2445           0
           1      2.0277       2.659       2.659           0
           1     2.16754       1.951       1.951           0
           1     2.30738       1.327       1.327           0
           1     2.44722       0.893       0.893           0
           1     2.58706       0.721       0.721           0
           1      2.7269      0.3635      0.3635           0
           1     2.86674       0.213       0.213           0
           1     3.00659       0.178       0.178           0
           1     3.14643       0.095       0.095           0
           1     3.28627       0.018       0.018           0
           1     3.42611           0           0           0
           1     3.56595           0           0           0
           1     3.70579           0           0           0
           1     3.84563           0           0           0
           1     3.98547           0           0           0
           1     4.12531           0           0           0
           2   0.0699206      0.1555      0.2055   0.0353553
           2    0.209762       1.037     1.23375    0.139123
           2    0.349603       2.756     3.02175    0.187914
           2    0.489444       5.176     5.56675    0.276302
           2    0.629285       7.749     8.18275    0.306708
           2    0.769126       9.585     9.90275    0.224683
           2    0.908968     11.4225     11.3887   0.0238649
           2     1.04881      12.113      11.645    0.330926
           2     1.18865      11.388      11.031    0.252437
           2     1.32849      10.675     10.5275    0.104298
           2     1.46833       8.567       8.693   0.0890955
           2     1.60817      8.0235       7.742    0.199051
           2     1.74801      6.5545       6.129    0.300874
           2     1.88786      4.8315       4.538    0.207536
           2      2.0277      3.4265     3.04275    0.271352
           2     2.16754      2.0975     2.02425   0.0517956
           2     2.30738       1.085       1.206   0.0855599
           2     2.44722      0.6565     0.77475   0.0836154
           2     2.58706      0.2975     0.50925     0.14973
           2      2.7269      0.2285       0.296   0.0477297
           2     2.86674       0.129       0.171   0.0296985
           2     3.00659       0.046       0.112    0.046669
           2     3.14643           0      0.0475   0.0335876
           2     3.28627           0       0.009  0.00636396
           2     3.42611           0           0           0
           2     3.56595           0           0           0
           2     3.70579           0           0           0
           2     3.84563           0           0           0
           2     3.98547           0           0           0
           2     4.12531           0           0           0
           3   0.0699206       0.083    0.164667   0.0408305
           3    0.209762      1.1465     1.20467   0.0957405
           3    0.349603      3.2205       3.088    0.136455
           3    0.489444      5.4015     5.51167    0.189613
           3    0.629285       7.489      7.9515    0.278316
           3    0.769126      9.7305     9.84533    0.156954
           3    0.908968     11.6165     11.4647   0.0639949
           3     1.04881      11.816      11.702    0.225473
           3     1.18865     11.6115     11.2245    0.230832
           3     1.32849      10.073      10.376    0.141902
           3     1.46833      9.2125     8.86617    0.153359
           3     1.60817      7.4945      7.6595    0.148818
           3     1.74801       5.992     6.08333    0.204019
           3     1.88786      4.5025     4.52617    0.138694
           3      2.0277      3.2095     3.09833    0.186507
           3     2.16754       2.282     2.11017   0.0781886
           3     2.30738       1.307     1.23967   0.0633181
           3     2.44722        0.79    0.779833   0.0558979
           3     2.58706      0.4305       0.483    0.102095
           3      2.7269        0.23       0.274   0.0365399
           3     2.86674       0.207       0.183   0.0220907
           3     3.00659      0.0995    0.107833   0.0312981
           3     3.14643       0.055        0.05   0.0224846
           3     3.28627           0       0.006  0.00489898
           3     3.42611           0           0           0
           3     3.56595           0           0           0
           3     3.70579           0           0           0
           3     3.84563           0           0           0
           3     3.98547           0           0           0
           3     4.12531           0           0           0
           4   0.0699206      0.1115    0.151375   0.0327149
           4    0.209762      1.1275     1.18538   0.0737234
           4    0.349603      2.8855     3.03737    0.111337
           4    0.489444       5.394     5.48225    0.144473
           4    0.629285      7.8535       7.927    0.209812
           4    0.769126       9.543     9.76975     0.13469
           4    0.908968      10.814      11.302    0.148825
           4     1.04881      12.037     11.7858    0.184003
           4     1.18865      12.275     11.4871    0.285834
           4     1.32849     10.3865     10.3786    0.106451
           4     1.46833      9.0425     8.91025     0.12119
           4     1.60817       7.795     7.69337    0.115405
           4     1.74801      6.0465     6.07413    0.153222
           4     1.88786       4.675     4.56338    0.108897
           4      2.0277       3.299      3.1485    0.146472
           4     2.16754       1.826     2.03913   0.0849942
           4     2.30738       1.343      1.2655   0.0524946
           4     2.44722      0.6575     0.74925   0.0495891
           4     2.58706       0.435       0.471   0.0772733
           4      2.7269      0.2705    0.273125   0.0274154
           4     2.86674        0.12     0.16725   0.0214604
           4     3.00659      0.0625      0.0965    0.025443
           4     3.14643           0      0.0375    0.020039
           4     3.28627           0      0.0045  0.00389711
           4     3.42611           0           0           0
           4     3.56595           0           0           0
           4     3.70579           0           0           0
           4     3.84563           0           0           0
           4     3.98547           0           0           0
           4     4.12531           0           0           0
           5   0.0699206      0.1755      0.1562   0.0265253
           5    0.209762      1.2265      1.1936   0.0594357
           5    0.349603      2.9265      3.0152   0.0912513
           5    0.489444       5.187      5.4232    0.127075
           5    0.629285        7.95      7.9316      0.1679
           5    0.769126      10.659      9.9476    0.192133
           5    0.908968     12.1245     11.4665    0.189271
           5     1.04881     11.8615     11.8009    0.147824
           5     1.18865      11.351     11.4599     0.22996
           5     1.32849     10.2535     10.3536   0.0880531
           5     1.46833      9.0575      8.9397    0.100467
           5     1.60817       7.558      7.6663    0.095447
           5     1.74801       5.875      6.0343    0.127648
           5     1.88786      4.1345      4.4776    0.116084
           5      2.0277       2.639      3.0466     0.14845
           5     2.16754       1.869      2.0051   0.0744952
           5     2.30738      1.1925      1.2509   0.0439792
           5     2.44722        0.77      0.7534   0.0398445
