#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.732803    0.732803           0
           2    0.732736    0.732769 2.36881e-05
           3    0.722052    0.729197  0.00291698
           4    0.705034    0.723156  0.00567046
           5    0.691308    0.716787  0.00728262
           6    0.714516    0.716408  0.00607868
           7    0.792894    0.727335    0.011379
           8    0.699228    0.723821    0.010485
           9    0.689352    0.719991  0.00999502
          10    0.551976     0.70319   0.0183025
          11    0.572524    0.691311   0.0201276
          12    0.844054     0.70404   0.0221117
          13    0.641216    0.699207   0.0209323
          14     0.75405    0.703124   0.0198003
          15    0.631532    0.698352   0.0190468
          16    0.800626    0.684744   0.0188986
          17    0.751794    0.697511   0.0179884
          18    0.668402    0.675339   0.0171198
          19    0.649208    0.672384   0.0164717
          20    0.799424    0.673236   0.0163471
