#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     45.8939     45.8939           0
           2     44.6878     45.2908     0.42641
           3     39.7475      43.443     1.53526
           4     39.1839     42.3783     1.47518
           5     39.7422     41.8511     1.27086
           6      45.396     42.4419     1.18848
           7     44.9705     42.8031     1.07219
           8     38.2602     42.2353     1.07811
           9     45.7698      42.628     1.02736
          10     45.9544     42.9606    0.976992
          11     42.2849     42.8992    0.890104
          12     43.2511     42.9285    0.816412
          13     53.0165     43.7045     1.06009
          14     39.1493     43.3791     1.03309
          15     47.9217      43.682     1.00763
          16     46.8601     43.8806    0.964032
          17     47.7394     44.1076    0.933665
          18      38.567     43.7998    0.931152
          19     41.7227     43.6905    0.888538
          20     48.4872     43.9303    0.875882
