#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.317251    0.317251           0
           2    0.314809     0.31603 0.000863355
           3    0.314137    0.315399 0.000772548
           4    0.310165     0.31409   0.0012727
           5    0.317076    0.314687  0.00114971
           6    0.315912    0.314892 0.000976039
           7    0.315375    0.314961  0.00083904
           8    0.324325    0.316131  0.00131828
           9    0.320507    0.316617   0.0012583
          10     0.31478    0.316434  0.00114581
          11    0.316908    0.316477  0.00104246
          12    0.313288    0.316211 0.000988875
          13    0.314127    0.316051 0.000925711
          14    0.319306    0.316283  0.00088832
          15    0.320405    0.316558 0.000870558
          16    0.316397    0.316548 0.000816206
          17    0.319309     0.31671  0.00078419
          18    0.319904    0.316888 0.000760436
          19     0.31588    0.316835 0.000722259
          20    0.310142      0.3165 0.000759725
