#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.614953   -0.614953           0
           2   -0.613144   -0.614049 0.000639578
           3    -0.61394   -0.614012 0.000427407
           4     -0.6149   -0.614234 0.000373752
           5   -0.615628   -0.614513 0.000389311
           6   -0.614596   -0.614527 0.000324672
           7   -0.614812   -0.614568 0.000280834
           8   -0.612964   -0.614367 0.000309095
           9   -0.612104   -0.614116 0.000362896
          10    -0.61298   -0.614002 0.000343918
          11   -0.615572   -0.614145 0.000340982
          12   -0.615628   -0.614268 0.000334218
          13   -0.613664   -0.614222 0.000311726
          14   -0.609616   -0.613893 0.000429294
          15   -0.611952   -0.613764 0.000419722
          16   -0.615256   -0.613857 0.000403722
          17   -0.613104   -0.613813 0.000382394
          18   -0.613968   -0.613821 0.000361248
          19   -0.614172    -0.61384 0.000342706
          20    -0.60956   -0.613626 0.000386646
