#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59652     1.59652           0
           2     1.59656     1.59654 1.34926e-05
           3     1.59657     1.59655  1.1637e-05
           4     1.59665     1.59658  2.2934e-05
           5     1.59606     1.59647 9.36748e-05
           6     1.59655     1.59649  7.8871e-05
           7     1.59677     1.59653 7.76088e-05
           8     1.59647     1.59652 6.82242e-05
           9     1.59639     1.59651 6.20894e-05
          10     1.59655     1.59651 5.60288e-05
          11     1.59641      1.5965 5.16626e-05
          12      1.5966     1.59651 4.80057e-05
          13     1.59673     1.59653 4.71632e-05
          14     1.59618      1.5965 5.00056e-05
          15     1.59646      1.5965 4.67591e-05
          16     1.59683     1.59652 4.81506e-05
          17     1.59649     1.59652 4.53534e-05
          18      1.5965     1.59652 4.28399e-05
          19     1.59682     1.59653 4.35254e-05
          20     1.59642     1.59653 4.16977e-05
          21     1.59665     1.59653 4.01528e-05
          22     1.59662     1.59654 3.85074e-05
          23     1.59639     1.59653 3.73689e-05
          24     1.59667     1.59654 3.62595e-05
          25     1.59659     1.59654 3.48818e-05
          26     1.59638     1.59653 3.40707e-05
          27      1.5967     1.59654 3.33871e-05
          28     1.59697     1.59655 3.55232e-05
          29     1.59626     1.59654  3.5708e-05
          30     1.59639     1.59654   3.488e-05
          31     1.59619     1.59653 3.55698e-05
          32     1.59652     1.59653 3.44594e-05
          33     1.59644     1.59652 3.35183e-05
          34     1.59629     1.59652 3.32414e-05
          35     1.59624     1.59651  3.3243e-05
          36      1.5964     1.59651 3.24535e-05
          37     1.59634      1.5965 3.19011e-05
          38     1.59645      1.5965 3.10941e-05
          39      1.5962     1.59649 3.12274e-05
          40       1.596     1.59648 3.28281e-05
          41     1.59651     1.59648 3.20382e-05
          42     1.59674     1.59649 3.18717e-05
          43      1.5963     1.59648 3.14414e-05
          44     1.59644     1.59648 3.07431e-05
          45     1.59659     1.59648 3.01609e-05
          46     1.59624     1.59648 2.99857e-05
          47     1.59648     1.59648 2.93478e-05
          48     1.59669     1.59648 2.90601e-05
          49     1.59655     1.59648 2.84965e-05
          50     1.59654     1.59649 2.79495e-05
          51     1.59642     1.59648 2.74325e-05
          52     1.59656     1.59649 2.69449e-05
          53     1.59674     1.59649  2.6857e-05
          54     1.59668     1.59649 2.65774e-05
          55      1.5967      1.5965 2.63616e-05
          56      1.5966      1.5965 2.59479e-05
          57      1.5967      1.5965 2.57375e-05
          58     1.59664     1.59651 2.53953e-05
          59     1.59659     1.59651  2.5001e-05
          60     1.59626      1.5965 2.49313e-05
          61     1.59651      1.5965 2.45232e-05
          62     1.59609      1.5965 2.50167e-05
          63      1.5962     1.59649 2.50559e-05
          64     1.59649     1.59649 2.46644e-05
          65     1.59661     1.59649 2.43467e-05
          66     1.59666      1.5965 2.41139e-05
          67     1.59659      1.5965 2.37957e-05
          68     1.59643      1.5965 2.34668e-05
          69     1.59646      1.5965 2.31342e-05
          70     1.59624     1.59649  2.3087e-05
          71     1.59657     1.59649 2.27907e-05
          72      1.5966     1.59649 2.25214e-05
          73     1.59706      1.5965  2.3506e-05
          74     1.59639      1.5965 2.32399e-05
          75     1.59645      1.5965  2.2939e-05
          76     1.59649      1.5965 2.26373e-05
          77     1.59647      1.5965 2.23466e-05
          78     1.59655      1.5965 2.20684e-05
          79     1.59657      1.5965 2.18054e-05
          80     1.59664      1.5965 2.16001e-05
          81     1.59666      1.5965  2.1423e-05
          82     1.59684     1.59651 2.15366e-05
          83     1.59669     1.59651 2.13837e-05
          84     1.59653     1.59651 2.11299e-05
          85     1.59606     1.59651 2.15336e-05
          86     1.59678     1.59651  2.1523e-05
          87     1.59693     1.59651 2.18035e-05
          88     1.59636     1.59651  2.1627e-05
          89     1.59651     1.59651 2.13841e-05
          90      1.5964     1.59651 2.11844e-05
          91     1.59648     1.59651 2.09542e-05
          92      1.5964     1.59651 2.07592e-05
          93     1.59638     1.59651 2.05826e-05
          94     1.59616      1.5965 2.06975e-05
          95     1.59651      1.5965 2.04796e-05
          96     1.59641      1.5965 2.02894e-05
          97     1.59651      1.5965 2.00802e-05
          98     1.59671     1.59651 1.99841e-05
          99     1.59635      1.5965 1.98429e-05
         100     1.59606      1.5965 2.01338e-05
         101      1.5967      1.5965 2.00358e-05
         102     1.59651      1.5965 1.98394e-05
         103     1.59649      1.5965 1.96473e-05
         104     1.59657      1.5965 1.94693e-05
         105      1.5962      1.5965 1.94903e-05
         106     1.59644      1.5965 1.93139e-05
         107     1.59669      1.5965 1.92181e-05
         108     1.59659      1.5965 1.90583e-05
         109     1.59643      1.5965 1.88958e-05
         110     1.59642      1.5965 1.87369e-05
         111     1.59649      1.5965 1.85681e-05
         112     1.59669      1.5965 1.84769e-05
         113     1.59645      1.5965 1.83202e-05
         114     1.59651      1.5965 1.81598e-05
         115     1.59662      1.5965 1.80329e-05
         116     1.59705     1.59651 1.84837e-05
         117     1.59633     1.59651 1.83878e-05
         118     1.59636      1.5965 1.82731e-05
         119     1.59644      1.5965 1.81278e-05
         120     1.59677     1.59651 1.81154e-05
         121     1.59658     1.59651 1.79766e-05
         122     1.59641     1.59651 1.78458e-05
         123     1.59635      1.5965  1.7747e-05
         124     1.59656      1.5965 1.76091e-05
         125     1.59689     1.59651  1.7733e-05
         126     1.59683     1.59651 1.77777e-05
         127     1.59669     1.59651 1.76946e-05
         128     1.59676     1.59651 1.76631e-05
         129     1.59691     1.59652 1.77871e-05
         130     1.59681     1.59652 1.77945e-05
         131     1.59651     1.59652 1.76588e-05
         132     1.59663     1.59652 1.75445e-05
         133     1.59658     1.59652 1.74179e-05
         134     1.59665     1.59652 1.73134e-05
         135     1.59657     1.59652 1.71884e-05
         136     1.59656     1.59652 1.70641e-05
         137     1.59637     1.59652 1.69765e-05
         138     1.59669     1.59652 1.68957e-05
         139      1.5967     1.59652  1.6824e-05
         140     1.59646     1.59652 1.67109e-05
         141     1.59645     1.59652 1.65993e-05
         142     1.59674     1.59652 1.65527e-05
         143     1.59661     1.59652 1.64476e-05
         144      1.5965     1.59652 1.63345e-05
         145     1.59681     1.59653 1.63424e-05
         146     1.59657     1.59653  1.6233e-05
         147     1.59659     1.59653 1.61278e-05
         148     1.59653     1.59653 1.60189e-05
         149     1.59643     1.59653 1.59258e-05
         150     1.59639     1.59653 1.58439e-05
         151     1.59653     1.59653  1.5739e-05
         152     1.59677     1.59653   1.572e-05
         153     1.59645     1.59653 1.56251e-05
         154     1.59672     1.59653  1.5572e-05
         155     1.59617     1.59653  1.5639e-05
         156     1.59633     1.59652   1.559e-05
         157      1.5965     1.59652 1.54916e-05
         158     1.59648     1.59652 1.53966e-05
         159     1.59639     1.59652 1.53223e-05
         160     1.59617     1.59652 1.53802e-05
         161     1.59612     1.59652 1.54878e-05
         162     1.59636     1.59652 1.54237e-05
         163     1.59663     1.59652 1.53448e-05
         164     1.59645     1.59652 1.52575e-05
         165     1.59629     1.59652 1.52296e-05
         166     1.59676     1.59652 1.52088e-05
         167     1.59631     1.59652 1.51691e-05
         168      1.5966     1.59652 1.50871e-05
         169     1.59651     1.59652 1.49978e-05
         170     1.59641     1.59652 1.49225e-05
         171     1.59645     1.59652 1.48402e-05
         172     1.59649     1.59652 1.47545e-05
         173      1.5966     1.59652 1.46771e-05
         174     1.59647     1.59652 1.45956e-05
         175     1.59684     1.59652 1.46286e-05
         176     1.59618     1.59652 1.46717e-05
         177      1.5964     1.59652 1.46046e-05
         178      1.5965     1.59652 1.45227e-05
         179     1.59662     1.59652 1.44524e-05
         180     1.59623     1.59651 1.44619e-05
         181     1.59629     1.59651 1.44349e-05
         182     1.59655     1.59651 1.43567e-05
         183      1.5965     1.59651 1.42783e-05
         184     1.59663     1.59651 1.42158e-05
         185     1.59646     1.59651 1.41417e-05
         186     1.59638     1.59651 1.40844e-05
         187     1.59656     1.59651 1.40112e-05
         188      1.5964     1.59651 1.39498e-05
         189     1.59693     1.59651 1.40537e-05
         190     1.59648     1.59651 1.39811e-05
         191      1.5965     1.59651 1.39081e-05
         192     1.59642     1.59651 1.38451e-05
         193     1.59656     1.59651 1.37756e-05
         194     1.59649     1.59651 1.37051e-05
         195     1.59665     1.59651 1.36517e-05
         196     1.59637     1.59651 1.36024e-05
         197     1.59638     1.59651 1.35495e-05
         198     1.59656     1.59651 1.34835e-05
         199     1.59692     1.59652 1.35668e-05
         200     1.59655     1.59652 1.35001e-05
         201     1.59678     1.59652 1.34949e-05
         202     1.59659     1.59652 1.34326e-05
         203     1.59625     1.59652 1.34304e-05
         204     1.59667     1.59652 1.33869e-05
         205      1.5964     1.59652 1.33344e-05
         206     1.59644     1.59652 1.32752e-05
         207     1.59671     1.59652 1.32455e-05
         208     1.59663     1.59652 1.31928e-05
         209     1.59657     1.59652 1.31318e-05
         210     1.59645     1.59652 1.30736e-05
         211     1.59643     1.59652 1.30185e-05
         212     1.59641     1.59652 1.29665e-05
         213     1.59653     1.59652 1.29059e-05
