#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.95389    -6.29994   0.0285572
         153    -5.95599    -6.29769   0.0284589
         154    -5.95785    -6.29548   0.0283596
         155    -5.95874    -6.29331   0.0282597
         156    -5.96046    -6.29118    0.028159
         157    -5.96211    -6.28908   0.0280575
         158    -5.96399    -6.28702   0.0279553
         159    -5.96536      -6.285   0.0278526
         160    -5.96636    -6.28301   0.0277496
         161     -5.9676    -6.28105   0.0276463
         162    -5.96833    -6.27912    0.027543
         163    -5.96885    -6.27722   0.0274397
         164    -5.96992    -6.27534   0.0273363
         165    -5.97109     -6.2735   0.0272327
         166    -5.97205    -6.27168   0.0271291
         167    -5.97297    -6.26989   0.0270256
         168    -5.97368    -6.26813   0.0269222
         169     -5.9742    -6.26639    0.026819
         170    -5.97467    -6.26468   0.0267161
         171    -5.97465    -6.26298   0.0266136
         172    -5.97594    -6.26131   0.0265112
         173    -5.97675    -6.25967   0.0264089
         174    -5.97721    -6.25804    0.026307
         175    -5.97763    -6.25644   0.0262054
         176    -5.97772    -6.25486   0.0261043
         177    -5.97852     -6.2533   0.0260035
         178    -5.97854    -6.25175   0.0259032
         179    -5.97897    -6.25023   0.0258032
         180    -5.97893    -6.24872   0.0257039
         181      -5.979    -6.24723    0.025605
         182    -5.97936    -6.24576   0.0255066
         183    -5.97954     -6.2443   0.0254087
         184    -5.97969    -6.24287   0.0253112
         185    -5.97983    -6.24144   0.0252143
         186    -5.97995    -6.24004   0.0251179
         187     -5.9799    -6.23865   0.0250221
         188    -5.97985    -6.23727   0.0249269
         189    -5.98008    -6.23591   0.0248321
         190    -5.98017    -6.23456   0.0247378
         191     -5.9801    -6.23323   0.0246442
         192    -5.98033    -6.23191    0.024551
         193    -5.98057    -6.23061   0.0244583
         194    -5.98067    -6.22932   0.0243661
         195    -5.98078    -6.22805   0.0242745
         196    -5.98074    -6.22679   0.0241834
         197    -5.98103    -6.22554   0.0240928
         198    -5.98117    -6.22431   0.0240027
         199    -5.98134    -6.22308   0.0239131
         200    -5.98136    -6.22188   0.0238241
         201     -5.9817    -6.22068   0.0237355
         202    -5.98145     -6.2195   0.0236475
         203    -5.98167    -6.21833   0.0235601
         204    -5.98189    -6.21717    0.023473
         205    -5.98212    -6.21602   0.0233865
         206    -5.98251    -6.21489   0.0233005
         207     -5.9832    -6.21377   0.0232148
         208    -5.98358    -6.21266   0.0231295
         209     -5.9838    -6.21157   0.0230448
         210    -5.98385    -6.21048   0.0229605
         211    -5.98373    -6.20941   0.0228768
         212    -5.98359    -6.20834   0.0227937
         213    -5.98357    -6.20729   0.0227111
         214    -5.98336    -6.20624   0.0226291
         215    -5.98372     -6.2052   0.0225475
         216    -5.98403    -6.20418   0.0224663
         217    -5.98446    -6.20317   0.0223856
         218    -5.98407    -6.20216   0.0223055
         219    -5.98409    -6.20117   0.0222258
         220    -5.98391    -6.20018   0.0221467
         221    -5.98337     -6.1992   0.0220682
         222    -5.98307    -6.19823   0.0219903
         223    -5.98257    -6.19726   0.0219129
         224    -5.98186     -6.1963   0.0218362
         225    -5.98125    -6.19534   0.0217601
         226    -5.98104    -6.19439   0.0216844
         227    -5.98048    -6.19345   0.0216094
         228    -5.98003    -6.19251   0.0215349
         229    -5.97953    -6.19158   0.0214609
         230    -5.97915    -6.19066   0.0213875
         231    -5.97843    -6.18974   0.0213146
         232    -5.97768    -6.18883   0.0212423
         233    -5.97751    -6.18792   0.0211705
         234    -5.97718    -6.18702   0.0210992
         235    -5.97668    -6.18613   0.0210284
