#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.051943    0.051943           0
           2     0.05817   0.0550565  0.00220158
           3     0.05743   0.0558477  0.00160359
           4     0.04558   0.0532808   0.0025275
           5    0.046742    0.051973  0.00233595
           6    0.046556   0.0510702  0.00211391
           7    0.047758    0.050597  0.00186412
           8    0.060986   0.0518956  0.00203375
           9    0.054764   0.0522143  0.00183258
          10    0.043668   0.0513597  0.00183783
          11     0.04367   0.0506606   0.0017988
          12    0.051294   0.0507134  0.00164968
          13    0.056228   0.0511376  0.00157637
          14    0.058676   0.0516761  0.00155302
          15    0.045298   0.0512509  0.00150657
          16    0.057456   0.0516387  0.00146147
          17    0.049656   0.0515221  0.00138015
          18    0.058492   0.0519093  0.00135671
          19    0.053114   0.0519727  0.00128678
          20     0.04551   0.0516496  0.00126236
