#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.45945     2.45945           0
           2     2.51427     2.48686   0.0193839
           3      2.4208     2.46484   0.0221413
           4     2.52133     2.47896   0.0206237
           5     2.56435     2.49604   0.0224833
           6     2.53459     2.50247   0.0196327
           7     2.61844     2.51903   0.0227697
           8     2.57875      2.5265   0.0211117
           9     2.52255     2.52606   0.0187705
          10     2.48111     2.52157   0.0174233
          11      2.4825     2.51801   0.0161972
          12     2.48055     2.51489   0.0151454
          13     2.36311     2.50322   0.0179243
          14     2.44418       2.499   0.0171329
          15     2.53135     2.50116   0.0161259
          16     2.47353     2.49943   0.0152102
          17     2.52494     2.50093   0.0143893
          18     2.58806     2.50577   0.0143811
          19     2.34699     2.49741   0.0158677
          20     2.46903       2.496   0.0151376
