#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.293762    0.293762           0
           2    0.293496    0.293629 9.38521e-05
           3     0.29686    0.294706 0.000881679
           4    0.290919    0.293759  0.00105344
           5    0.292727    0.293553 0.000862729
           6    0.290827    0.293099 0.000829993
           7    0.293963    0.293222 0.000720547
           8    0.298384    0.293867 0.000872793
           9     0.30005    0.294554  0.00101063
          10    0.294883    0.294587 0.000910098
          11    0.294302    0.294561  0.00082773
          12    0.291886    0.294338 0.000788213
          13    0.292264    0.294179 0.000743552
          14    0.293659    0.294142 0.000691366
          15    0.290847    0.293922 0.000679264
          16    0.298051     0.29418 0.000684073
          17    0.294582    0.294204 0.000644243
          18    0.293626    0.294172 0.000609249
          19    0.287378    0.293814 0.000673986
          20    0.287951    0.293521 0.000701157
