       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           2      1.8083    0.894202    0.891591  0.00184648
           2     1.83395    0.931295    0.930802 0.000348771
           2      1.8596     0.99175    0.981437  0.00729242
           2     1.88525     1.02511     1.01767  0.00526649
           2      1.9109     1.05451     1.05207  0.00172028
           2     1.93655      1.1134     1.10161  0.00833577
           2      1.9622     1.13085     1.13347  0.00185308
           2     1.98785      1.1646     1.15914  0.00386174
           2      2.0135     1.20568     1.18696   0.0132322
           2     2.03915     1.22155     1.20379   0.0125545
           2      2.0648     1.22263     1.21936  0.00230836
           2     2.09045     1.22685     1.22174  0.00361632
           2      2.1161      1.2285     1.22198  0.00461107
           2     2.14174     1.20326     1.20431 0.000745048
           2     2.16739      1.1628     1.16741  0.00325708
           2     2.19304     1.14891     1.14582  0.00218459
           2     2.21869     1.11007      1.1183  0.00582028
           2     2.24434     1.09645     1.10783  0.00804708
           2     2.26999     1.09099     1.08482  0.00435689
           2     2.29564     1.03564     1.04346  0.00552914
           2     2.32129     1.00524     1.00934  0.00289889
           2     2.34694     0.98679    0.990824  0.00285247
           2     2.37259    0.960451    0.969051  0.00608113
           2     2.39824    0.946692    0.952095  0.00382039
           2     2.42389    0.941702    0.935184  0.00460861
           2     2.44954    0.916911    0.913774  0.00221822
           2     2.47519    0.895223    0.900344  0.00362053
           2     2.50084    0.891131    0.893032  0.00134461
           2     2.52649    0.882712    0.879617  0.00218858
           2     2.55214    0.886261     0.89092  0.00329401
           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263           0 7.13251e-05 5.82367e-05
           3    0.884913  0.00113714  0.00181576 0.000338524
           3    0.910562   0.0280103   0.0279756 0.000726897
           3    0.936212    0.167762    0.172274  0.00616019
           3    0.961861    0.581996     0.57309  0.00593199
           3    0.987511     1.19717     1.20171  0.00216672
           3     1.01316     1.87231     1.85726   0.0112227
           3     1.03881     2.30271     2.32168  0.00951523
           3     1.06446     2.57433      2.5573   0.0158921
           3     1.09011     2.54097     2.54185 0.000392801
           3     1.11576      2.4215      2.4179  0.00551824
           3     1.14141     2.18292     2.18453  0.00179594
           3     1.16706      1.9563     1.95918  0.00251439
           3     1.19271     1.74537     1.75882  0.00719086
           3     1.21836     1.54004     1.56815   0.0140027
           3     1.24401     1.35846     1.38105   0.0114084
           3     1.26966     1.22522      1.2448  0.00811935
           3     1.29531     1.10091     1.11752   0.0122413
           3     1.32096     1.00013     1.01455    0.014303
           3     1.34661    0.957021    0.957572   0.0122434
           3     1.37226    0.882993    0.883229  0.00031879
           3     1.39791    0.836658    0.819246  0.00711317
           3     1.42355    0.801366    0.784578   0.0103643
           3      1.4492    0.731027    0.739118  0.00482377
           3     1.47485    0.709223    0.711155  0.00344701
           3      1.5005    0.691021    0.694967  0.00620907
           3     1.52615    0.659676    0.667434  0.00641734
           3      1.5518    0.675244    0.669166  0.00715414
           3     1.57745    0.681222    0.658051   0.0108109
           3      1.6031    0.694164    0.676342   0.0102301
           3     1.62875    0.711082    0.691909  0.00901731
           3      1.6544    0.719127    0.704007   0.0065235
           3     1.68005    0.755678    0.725204   0.0124725
           3      1.7057    0.772591    0.754398  0.00791004
           3     1.73135    0.796367      0.7807  0.00639766
           3       1.757    0.826159    0.816596   0.0041013
           3     1.78265    0.842746     0.84892  0.00620659
           3      1.8083    0.897167     0.89345  0.00195412
           3     1.83395    0.949585    0.937063  0.00511752
           3      1.8596    0.982056    0.981643  0.00486453
           3     1.88525     1.02009     1.01847  0.00357248
           3      1.9109      1.0357     1.04662  0.00460034
           3     1.93655     1.08019     1.09447  0.00805428
           3      1.9622     1.10323     1.12339  0.00832076
           3     1.98785     1.12887     1.14905  0.00862919
           3      2.0135     1.15996     1.17796   0.0114811
           3     2.03915     1.19999     1.20252  0.00843345
           3      2.0648     1.22327     1.22067   0.0018707
           3     2.09045     1.22507     1.22285  0.00257619
           3      2.1161     1.21377     1.21924  0.00380109
           3     2.14174     1.19755     1.20206  0.00190702
           3     2.16739     1.17286     1.16922  0.00263014
           3     2.19304     1.14668     1.14611  0.00147515
           3     2.21869     1.12852     1.12171  0.00477342
           3     2.24434     1.10064     1.10544  0.00571035
           3     2.26999     1.06757     1.07907  0.00552134
           3     2.29564     1.03543     1.04079  0.00428556
           3     2.32129     1.01287     1.01051  0.00215781
           3     2.34694    0.975105    0.985584  0.00468172
           3     2.37259    0.957917     0.96534   0.0050614
           3     2.39824    0.944402    0.949531  0.00329704
           3     2.42389     0.93471    0.935026  0.00307512
           3     2.44954    0.929557    0.919035  0.00454309
           3     2.47519    0.905105    0.901931  0.00273958
           3     2.50084     0.89622    0.894095  0.00124748
           3     2.52649    0.897204    0.885479  0.00500382
           3     2.55214    0.889871     0.89057  0.00221447
           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263 9.72615e-05 7.78092e-05  4.4037e-05
           4    0.884913  0.00117383  0.00165528 0.000289444
           4    0.910562   0.0244419   0.0270922 0.000939449
           4    0.936212    0.167631    0.171113  0.00472823
           4    0.961861    0.576904    0.574044  0.00452497
           4    0.987511     1.20882     1.20349  0.00223893
           4     1.01316     1.86055     1.85808  0.00844713
           4     1.03881     2.30431     2.31733  0.00806657
           4     1.06446      2.5756     2.56187   0.0125603
           4     1.09011     2.54097     2.54163 0.000351112
           4     1.11576     2.43202     2.42143  0.00514549
           4     1.14141     2.20814     2.19043  0.00528632
           4     1.16706     1.98497     1.96563  0.00589353
           4     1.19271     1.77132     1.76195  0.00603338
           4     1.21836     1.57392      1.5696   0.0105761
           4     1.24401     1.40325      1.3866   0.0098139
           4     1.26966     1.28209     1.25413   0.0101121
           4     1.29531     1.11395     1.11662  0.00921332
           4     1.32096     1.00468     1.01208   0.0109379
           4     1.34661    0.916934    0.947413   0.0127174
           4     1.37226    0.853353     0.87576  0.00647281
           4     1.39791    0.815321    0.818265  0.00540213
           4     1.42355    0.779848    0.783395   0.0078404
           4      1.4492       0.731    0.737088  0.00402214
           4     1.47485    0.711289    0.711189  0.00258542
           4      1.5005    0.700857     0.69644  0.00482826
           4     1.52615    0.689245    0.672887  0.00674279
           4      1.5518    0.687125    0.673656  0.00662632
           4     1.57745    0.665002    0.659788  0.00824669
           4      1.6031    0.670546    0.674893  0.00777453
           4     1.62875    0.681743    0.689367  0.00711214
           4      1.6544     0.69577    0.701947  0.00520752
           4     1.68005    0.708649    0.721065   0.0100175
           4      1.7057    0.735521    0.749679  0.00720399
           4     1.73135     0.76689    0.777248  0.00565368
           4       1.757    0.819124    0.817228  0.00312429
           4     1.78265    0.862384    0.852286   0.0054924
           4      1.8083    0.895322    0.893918  0.00152064
           4     1.83395    0.934336    0.936381   0.0038833
           4      1.8596    0.963378    0.977077  0.00538049
           4     1.88525     1.02237     1.01945  0.00280898
           4      1.9109     1.06288     1.05068  0.00493039
           4     1.93655     1.10655     1.09749  0.00658267
           4      1.9622     1.12746     1.12441  0.00630259
           4     1.98785     1.17642     1.15589  0.00877536
           4      2.0135     1.20351     1.18435   0.0102344
           4     2.03915     1.19901     1.20164  0.00637083
           4      2.0648     1.21354     1.21888  0.00208509
           4     2.09045     1.20351     1.21801  0.00461098
           4      2.1161     1.20003     1.21444  0.00504373
           4     2.14174     1.18032     1.19662  0.00491895
           4     2.16739     1.17859     1.17157  0.00282887
           4     2.19304     1.15075     1.14727  0.00149425
           4     2.21869     1.14067     1.12645  0.00544772
           4     2.24434     1.10147     1.10445  0.00436785
           4     2.26999     1.08115     1.07959  0.00416526
           4     2.29564     1.04954     1.04297  0.00373118
           4     2.32129      1.0303     1.01546  0.00457887
           4     2.34694     1.00081    0.989391  0.00481599
           4     2.37259    0.963133    0.964788  0.00382601
           4     2.39824    0.955093    0.950921  0.00275044
           4     2.42389    0.928911    0.933498  0.00265932
           4     2.44954    0.907731    0.916209   0.0041952
           4     2.47519    0.882099    0.896973  0.00475993
           4     2.50084    0.876419    0.889676  0.00393966
           4     2.52649    0.882112    0.884637  0.00382304
           4     2.55214    0.880618    0.888082  0.00272048
           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
           5    0.602767           0           0           0
           5    0.628416           0           0           0
           5    0.654066           0           0           0
           5    0.679715           0           0           0
           5    0.705365           0           0           0
           5    0.731015           0           0           0
           5    0.756664           0           0           0
           5    0.782314           0           0           0
           5    0.807964           0           0           0
           5    0.833613           0           0           0
           5    0.859263           0 6.22473e-05 3.78796e-05
           5    0.884913  0.00220093  0.00176441 0.000251287
           5    0.910562   0.0258796   0.0268497 0.000782235
           5    0.936212    0.157095     0.16831  0.00453833
           5    0.961861    0.574886    0.574212  0.00362311
           5    0.987511      1.2024     1.20327  0.00180166
           5     1.01316     1.82882     1.85223  0.00854814
           5     1.03881     2.31855     2.31758  0.00645691
           5     1.06446      2.5485      2.5592   0.0103292
           5     1.09011     2.54969     2.54324  0.00146761
           5     1.11576      2.3953     2.41621  0.00622864
           5     1.14141     2.23563     2.19947  0.00912524
           5     1.16706     2.02619     1.97774   0.0118136
           5     1.19271     1.73483     1.75652  0.00684335
           5     1.21836     1.55923     1.56752  0.00866146
           5     1.24401     1.40442     1.39016  0.00847356
           5     1.26966     1.22751      1.2488   0.0093868
           5     1.29531     1.11394     1.11609  0.00738625
           5     1.32096     1.00571      1.0108  0.00882422
           5     1.34661    0.951112    0.948153   0.0101954
           5     1.37226    0.884694    0.877547  0.00541924
           5     1.39791    0.842523    0.823116  0.00612443
           5     1.42355    0.787623    0.784241  0.00631775
           5      1.4492    0.765529    0.742777  0.00601984
           5     1.47485    0.724958    0.713943  0.00321633
           5      1.5005    0.695046    0.696161  0.00387065
           5     1.52615    0.663691    0.671047  0.00563949
           5      1.5518    0.650396    0.669004  0.00673899
           5     1.57745     0.64671    0.657173  0.00699987
           5      1.6031    0.663029     0.67252  0.00657173
           5     1.62875    0.691748    0.689844  0.00570563
           5      1.6544    0.686612     0.69888  0.00498806
           5     1.68005    0.704771    0.717806  0.00852762
           5      1.7057    0.734677    0.746678  0.00635735
           5     1.73135    0.766295    0.775057  0.00492905
           5       1.757    0.800309    0.813844  0.00392528
           5     1.78265    0.848233    0.851475  0.00445334
           5      1.8083    0.897505    0.894635  0.00137541
           5     1.83395    0.928711    0.934847  0.00339612
           5      1.8596    0.969442     0.97555  0.00451588
           5     1.88525     1.01645     1.01885  0.00231015
           5      1.9109     1.04929     1.05041  0.00395214
           5     1.93655     1.11084     1.10016  0.00578206
           5      1.9622     1.15311     1.13015  0.00719616
           5     1.98785     1.16323     1.15736   0.0071421
           5      2.0135     1.18272     1.18403  0.00819273
           5     2.03915     1.20783     1.20288   0.0052154
           5      2.0648     1.22475     1.22006   0.0019703
           5     2.09045     1.25194      1.2248  0.00710228
           5      2.1161     1.23313     1.21818  0.00524004
           5     2.14174     1.19681     1.19666   0.0039353
           5     2.16739     1.17707     1.17267  0.00246781
           5     2.19304     1.16149     1.15011  0.00281087
           5     2.21869     1.13673      1.1285  0.00473023
           5     2.24434     1.11134     1.10582   0.0037057
           5     2.26999     1.06379     1.07643  0.00437006
           5     2.29564     1.04531     1.04344  0.00301415
           5     2.32129     1.01619     1.01561  0.00366544
           5     2.34694    0.988362    0.989185  0.00385717
           5     2.37259    0.961643    0.964159   0.0031121
           5     2.39824    0.923355    0.945408  0.00539982
           5     2.42389    0.915575    0.929913  0.00384766
           5     2.44954     0.90865    0.914697  0.00361831
           5     2.47519    0.898806    0.897339  0.00382203
           5     2.50084    0.879062    0.887553  0.00367942
           5     2.52649    0.877767    0.883263  0.00329616
           5     2.55214     0.88177     0.88682  0.00245192
           6   0.0128248           0           0           0
           6   0.0384745           0           0           0
           6   0.0641241           0           0           0
           6   0.0897737           0           0           0
           6    0.115423           0           0           0
           6    0.141073           0           0           0
           6    0.166723           0           0           0
           6    0.192372           0           0           0
           6    0.218022           0           0           0
           6    0.243672           0           0           0
           6    0.269321           0           0           0
           6    0.294971           0           0           0
           6     0.32062           0           0           0
           6     0.34627           0           0           0
           6     0.37192           0           0           0
           6    0.397569           0           0           0
           6    0.423219           0           0           0
           6    0.448869           0           0           0
           6    0.474518           0           0           0
           6    0.500168           0           0           0
           6    0.525818           0           0           0
           6    0.551467           0           0           0
           6    0.577117           0           0           0
           6    0.602767           0           0           0
           6    0.628416           0           0           0
           6    0.654066           0           0           0
           6    0.679715           0           0           0
           6    0.705365           0           0           0
           6    0.731015           0           0           0
           6    0.756664           0           0           0
           6    0.782314           0           0           0
           6    0.807964           0           0           0
           6    0.833613           0           0           0
           6    0.859263 3.89046e-05 5.83569e-05 3.17655e-05
           6    0.884913  0.00192581  0.00179131 0.000210841
           6    0.910562   0.0256717   0.0266533 0.000676049
           6    0.936212    0.162584    0.167356  0.00388096
           6    0.961861    0.551305    0.570394  0.00461115
           6    0.987511     1.21566     1.20534  0.00240947
           6     1.01316     1.86265     1.85397  0.00729777
           6     1.03881      2.3432     2.32185  0.00664436
           6     1.06446     2.44766     2.54061    0.019028
           6     1.09011     2.51008     2.53772  0.00519198
           6     1.11576     2.38424     2.41088  0.00711335
           6     1.14141     2.17348     2.19514  0.00857126
           6     1.16706     1.96794     1.97611  0.00995694
           6     1.19271     1.79805     1.76344  0.00851141
           6     1.21836     1.60565     1.57388  0.00925998
           6     1.24401     1.39528     1.39101  0.00710419
           6     1.26966     1.25959      1.2506  0.00799279
           6     1.29531     1.18691     1.12789   0.0124096
           6     1.32096     1.04904     1.01718  0.00937682
           6     1.34661    0.933813    0.945763  0.00877182
           6     1.37226    0.876067      0.8773  0.00452164
           6     1.39791    0.819275    0.822476  0.00513704
           6     1.42355    0.782796       0.784  0.00526938
           6      1.4492    0.757576    0.745243  0.00549868
           6     1.47485    0.713845    0.713926  0.00268032
           6      1.5005    0.706886    0.697948  0.00361478
           6     1.52615     0.68092    0.672693  0.00493379
           6      1.5518    0.664341    0.668227  0.00566046
           6     1.57745    0.649163    0.655838  0.00595915
           6      1.6031    0.663599    0.671033  0.00564213
           6     1.62875    0.683405     0.68877  0.00485455
           6      1.6544     0.67841    0.695469  0.00519403
           6     1.68005    0.713936    0.717161   0.0071307
           6      1.7057    0.751512    0.747484  0.00534858
           6     1.73135    0.765668    0.773492  0.00434888
           6       1.757    0.807529    0.812792  0.00340923
           6     1.78265    0.833778    0.848526  0.00458495
           6      1.8083    0.877476    0.891776  0.00285126
           6     1.83395    0.932657    0.934482  0.00284964
           6      1.8596    0.973147    0.975149  0.00378096
           6     1.88525     1.01205     1.01772  0.00218526
           6      1.9109     1.04632     1.04972   0.0033517
           6     1.93655     1.07587     1.09611  0.00607209
           6      1.9622     1.13567     1.13107  0.00605528
           6     1.98785     1.18039      1.1612   0.0069063
           6      2.0135     1.20494     1.18751  0.00753268
           6     2.03915     1.20732     1.20362  0.00439829
           6      2.0648     1.21422     1.21908   0.0018668
           6     2.09045     1.23623     1.22671  0.00616897
           6      2.1161     1.22233     1.21887  0.00441214
           6     2.14174     1.20233     1.19761  0.00339118
           6     2.16739      1.1976     1.17682  0.00431495
           6     2.19304     1.14239     1.14882  0.00262067
           6     2.21869     1.12281     1.12756  0.00403604
           6     2.24434     1.09813     1.10454  0.00330263
           6     2.26999     1.07817     1.07672  0.00365132
           6     2.29564     1.05566     1.04548  0.00312482
           6     2.32129     1.01512     1.01553  0.00305542
           6     2.34694    0.992939    0.989811  0.00326466
           6     2.37259    0.971479    0.965379  0.00282243
           6     2.39824    0.942404    0.944907  0.00452299
           6     2.42389    0.908603    0.926361  0.00455991
           6     2.44954    0.908684    0.913695  0.00315102
           6     2.47519    0.895713    0.897068  0.00319462
           6     2.50084    0.892674    0.888407  0.00316362
           6     2.52649    0.886868    0.883864  0.00280104
           6     2.55214    0.893351    0.887908  0.00227209
           7   0.0128248           0           0           0
           7   0.0384745           0           0           0
           7   0.0641241           0           0           0
           7   0.0897737           0           0           0
           7    0.115423           0           0           0
           7    0.141073           0           0           0
           7    0.166723           0           0           0
           7    0.192372           0           0           0
           7    0.218022           0           0           0
           7    0.243672           0           0           0
           7    0.269321           0           0           0
           7    0.294971           0           0           0
           7     0.32062           0           0           0
           7     0.34627           0           0           0
           7     0.37192           0           0           0
           7    0.397569           0           0           0
           7    0.423219           0           0           0
           7    0.448869           0           0           0
           7    0.474518           0           0           0
           7    0.500168           0           0           0
           7    0.525818           0           0           0
           7    0.551467           0           0           0
           7    0.577117           0           0           0
           7    0.602767           0           0           0
           7    0.628416           0           0           0
           7    0.654066           0           0           0
           7    0.679715           0           0           0
           7    0.705365           0           0           0
           7    0.731015           0           0           0
           7    0.756664           0           0           0
           7    0.782314           0           0           0
           7    0.807964           0           0           0
           7    0.833613           0           0           0
           7    0.859263           0 5.00202e-05 2.83004e-05
           7    0.884913 0.000972075  0.00167428 0.000210713
           7    0.910562   0.0210294   0.0258499 0.000942904
           7    0.936212    0.167762    0.167414  0.00332698
           7    0.961861      0.5928    0.573595  0.00494001
           7    0.987511     1.21878     1.20726  0.00272527
           7     1.01316      1.8521      1.8537  0.00626009
           7     1.03881     2.33962     2.32439  0.00616108
           7     1.06446     2.52473     2.53834   0.0164444
           7     1.09011      2.5886     2.54499  0.00806864
           7     1.11576     2.47305     2.41976   0.0102367
           7     1.14141     2.22281     2.19909    0.008208
           7     1.16706     1.91715     1.96769   0.0115607
           7     1.19271     1.74155     1.76032  0.00784909
           7     1.21836     1.53815     1.56877  0.00923717
           7     1.24401     1.36477     1.38726  0.00700929
           7     1.26966     1.22499     1.24694  0.00764271
           7     1.29531     1.11377     1.12588   0.0107995
           7     1.32096     1.01365     1.01667   0.0080508
           7     1.34661    0.939231     0.94483  0.00756817
           7     1.37226    0.856404    0.874315  0.00476018
           7     1.39791    0.835159    0.824288  0.00471185
           7     1.42355    0.772867     0.78241  0.00475058
           7      1.4492    0.722862    0.742046  0.00556564
           7     1.47485    0.718824    0.714626  0.00238698
           7      1.5005    0.711179    0.699839  0.00355838
           7     1.52615    0.677609    0.673395  0.00427865
           7      1.5518    0.671325    0.668669   0.0048691
           7     1.57745    0.675969    0.658714  0.00576014
           7      1.6031    0.691079    0.673897  0.00551521
           7     1.62875    0.692084    0.689244  0.00418406
           7      1.6544    0.718665    0.698782  0.00540674
           7     1.68005    0.755749    0.722674  0.00796267
           7      1.7057    0.767921    0.750404  0.00532203
           7     1.73135     0.78745    0.775486  0.00415969
           7       1.757     0.78529    0.808863  0.00466584
           7     1.78265    0.853055    0.849173  0.00397535
           7      1.8083    0.874893    0.889364  0.00331037
           7     1.83395    0.924663    0.933079  0.00276634
           7      1.8596    0.961974    0.973267  0.00367961
           7     1.88525       1.017     1.01761  0.00187546
           7      1.9109     1.05885     1.05103  0.00311605
           7     1.93655     1.09824     1.09642  0.00521226
           7      1.9622     1.12994     1.13091  0.00519237
           7     1.98785     1.15667     1.16055  0.00594991
           7      2.0135     1.19403     1.18844  0.00651386
           7     2.03915     1.20189     1.20337  0.00377692
           7      2.0648     1.22623     1.22011  0.00185855
           7     2.09045     1.22277     1.22614  0.00531326
           7      2.1161     1.23274     1.22085  0.00420316
           7     2.14174     1.20672     1.19891  0.00314654
           7     2.16739     1.18298      1.1777  0.00378717
