#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.044758    0.044758           0
           2    0.032292    0.038525   0.0044074
           3     0.03764     0.03823  0.00294812
           4    0.037316   0.0380015  0.00221993
           5     0.03541   0.0374832  0.00183545
           6     0.03597    0.037231  0.00154677
           7     0.04226   0.0379494  0.00148329
           8    0.041948   0.0384493  0.00137953
           9    0.029718   0.0374791   0.0015298
          10    0.026328    0.036364   0.0017363
          11    0.031522   0.0359238   0.0016333
          12     0.02335    0.034876  0.00180223
          13    0.033684   0.0347843  0.00166592
          14    0.039094   0.0350921  0.00157511
          15     0.03648   0.0351847  0.00147282
          16     0.03809   0.0353663  0.00139192
          17     0.03371   0.0352688  0.00131345
          18    0.031094   0.0350369  0.00126079
          19    0.037728   0.0351785  0.00120236
          20     0.03439   0.0351391  0.00114289
