#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892851   -0.892851           0
           2   -0.892684   -0.892768 5.90434e-05
           3   -0.893616    -0.89305 0.000234263
           4   -0.890228   -0.892345 0.000635811
           5   -0.887284   -0.891333   0.0010384
           6   -0.894632   -0.891883   0.0010004
           7   -0.886512   -0.891115  0.00111347
           8    -0.88662   -0.890553  0.00110703
           9   -0.894276   -0.890967  0.00105848
          10   -0.895372   -0.891408  0.00104026
          11   -0.893712   -0.891617 0.000966557
          12   -0.888856   -0.891387 0.000912985
          13    -0.89274   -0.891491 0.000848667
          14   -0.888428   -0.891272 0.000815762
          15    -0.89012   -0.891195 0.000764986
          16   -0.891304   -0.891202 0.000717205
          17   -0.900512    -0.89175 0.000859017
          18   -0.887448   -0.891511 0.000843884
          19   -0.891344   -0.891502 0.000799515
          20   -0.891612   -0.891508 0.000759558
