#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.442434    0.442434           0
           2    0.420083    0.431258  0.00790206
           3    0.437302    0.433273  0.00551889
           4    0.444225    0.436011  0.00477025
           5    0.438455      0.4365  0.00384115
           6    0.431535    0.435672  0.00328887
           7    0.416044    0.432868   0.0038323
           8    0.433906    0.432998  0.00335546
           9    0.445424    0.434379  0.00325429
          10    0.436418    0.434583  0.00293525
          11     0.42341    0.433567  0.00283869
          12    0.420794    0.432502  0.00279456
          13    0.424315    0.431873  0.00264962
          14    0.445615    0.432854  0.00263592
          15     0.43116    0.432741  0.00246261
          16    0.440869    0.433249  0.00236052
          17    0.432514    0.433206  0.00222206
          18    0.438414    0.433495  0.00211737
          19    0.427337    0.433171  0.00203058
          20    0.417428    0.432384  0.00207603
