#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.4618     10.4618           0
           2     9.21706     9.83944     0.44009
           3     9.92854     9.86914    0.294393
           4     9.79667     9.85102    0.221352
           5     10.8372     10.0483    0.249959
           6      10.381     10.1037    0.214363
           7      9.5592     10.0259    0.197349
           8     10.8169     10.1248    0.195888
           9     10.6945     10.1881    0.184067
          10     10.1496     10.1842      0.1657
          11     10.0132     10.1687    0.151365
          12     10.1741     10.1691    0.138752
          13     8.87317     10.0695     0.15993
          14     10.6694     10.1123    0.154142
          15     10.0647     10.1091    0.143899
          16     10.6048     10.1401    0.138199
          17     10.5904     10.1666    0.132584
          18     9.35916     10.1217    0.132589
          19     10.7395     10.1543    0.129536
          20     8.40468     10.0668    0.149711
