#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.376562   -0.456214   0.0168531
         153   -0.378018   -0.455702   0.0167507
         154    -0.39384   -0.455301   0.0166467
         155   -0.420657   -0.455077   0.0165408
         156     -0.4115   -0.454798   0.0164372
         157   -0.376361   -0.454298   0.0163401
         158    -0.33942   -0.453571   0.0162528
         159    -0.31063   -0.452672   0.0161754
         160   -0.322528   -0.451859   0.0160948
         161   -0.344677   -0.451193   0.0160086
         162   -0.338138   -0.450495    0.015925
         163   -0.314548   -0.449661   0.0158491
         164   -0.335016   -0.448962   0.0157679
         165   -0.341093   -0.448308   0.0156858
         166   -0.322705   -0.447552   0.0156096
         167   -0.348379   -0.446958   0.0155274
         168   -0.395286    -0.44665    0.015438
         169   -0.387203   -0.446299   0.0153507
         170   -0.331442   -0.445623   0.0152753
         171    -0.30628   -0.444808   0.0152076
         172   -0.307477    -0.44401   0.0151402
         173   -0.306097   -0.443212   0.0150736
         174   -0.311359   -0.442455    0.015006
         175    -0.31546   -0.441729   0.0149378
         176   -0.320982   -0.441043   0.0148687
         177   -0.295938   -0.440223   0.0148073
         178   -0.309987   -0.439491   0.0147422
         179   -0.325284   -0.438853   0.0146736
         180   -0.311682   -0.438147   0.0146091
         181   -0.298752   -0.437377   0.0145486
         182   -0.291482   -0.436575   0.0144908
         183    -0.30301   -0.435845     0.01443
         184   -0.308647   -0.435154   0.0143681
         185   -0.286447    -0.43435   0.0143129
         186   -0.308858   -0.433675   0.0142518
         187   -0.281569   -0.432862   0.0141988
         188   -0.304366   -0.432179   0.0141397
         189   -0.318369   -0.431576   0.0140777
         190   -0.308516   -0.430929   0.0140185
         191   -0.311352   -0.430303   0.0139591
         192   -0.335852   -0.429811   0.0138951
         193   -0.367588   -0.429488   0.0138268
         194   -0.378478   -0.429225    0.013758
         195   -0.363663   -0.428889   0.0136916
         196   -0.373705   -0.428608   0.0136246
         197   -0.381711    -0.42837   0.0135575
         198   -0.357144    -0.42801   0.0134938
         199   -0.359808   -0.427667   0.0134304
         200   -0.364146    -0.42735    0.013367
         201   -0.347085    -0.42695   0.0133065
         202   -0.322956   -0.426435   0.0132505
         203   -0.332716   -0.425974   0.0131933
         204   -0.333142   -0.425519   0.0131365
         205   -0.343427   -0.425118   0.0130785
         206   -0.317464   -0.424596   0.0130254
         207   -0.330517   -0.424141   0.0129704
         208   -0.314172   -0.423612   0.0129189
         209   -0.348003   -0.423251   0.0128621
         210   -0.352972   -0.422916   0.0128052
         211   -0.355917   -0.422598   0.0127485
         212   -0.375952   -0.422378   0.0126902
         213   -0.358513   -0.422079   0.0126342
         214   -0.349544    -0.42174   0.0125797
         215   -0.341281   -0.421365   0.0125268
         216   -0.346726    -0.42102   0.0124735
         217   -0.344823   -0.420669    0.012421
         218   -0.379963   -0.420482   0.0123654
         219   -0.398317   -0.420381   0.0123094
         220   -0.396451   -0.420272   0.0122539
         221    -0.39831   -0.420173   0.0121988
         222   -0.402269   -0.420092   0.0121442
         223    -0.39919   -0.419998   0.0120901
         224   -0.384277   -0.419839   0.0120371
         225   -0.406492   -0.419779   0.0119838
         226   -0.415107   -0.419759   0.0119308
         227   -0.413901   -0.419733   0.0118783
         228   -0.375371   -0.419538   0.0118278
         229   -0.355981   -0.419261   0.0117794
         230   -0.367354   -0.419035   0.0117303
         231   -0.362951   -0.418792    0.011682
         232   -0.389299   -0.418665   0.0116324
         233   -0.395071   -0.418564   0.0115829
         234   -0.397795   -0.418475   0.0115337
         235   -0.357248   -0.418215   0.0114876
         236   -0.352984   -0.417938   0.0114422
         237   -0.366281    -0.41772    0.011396
         238   -0.350696   -0.417439   0.0113516
         239   -0.359647   -0.417197   0.0113067
         240   -0.386056   -0.417067   0.0112603
         241   -0.379216    -0.41691   0.0112147
         242   -0.378646   -0.416752   0.0111695
         243   -0.367125   -0.416548   0.0111254
         244   -0.380649   -0.416401   0.0110808
         245   -0.416049   -0.416399   0.0110355
         246   -0.400769   -0.416336   0.0109909
         247    -0.36709   -0.416136   0.0109482
         248   -0.372411    -0.41596   0.0109055
         249   -0.404283   -0.415913   0.0108618
         250   -0.374468   -0.415747   0.0108196
