#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.934507   -0.934507           0
           2      -0.935   -0.934753 0.000174302
           3   -0.930584   -0.933364  0.00114073
           4   -0.930544   -0.932659  0.00105102
           5   -0.926128   -0.931353  0.00143937
           6   -0.936924   -0.932281  0.00146877
           7   -0.937656   -0.933049  0.00144578
           8   -0.927408   -0.932344  0.00142668
           9   -0.936484   -0.932804  0.00134027
          10   -0.939868    -0.93351  0.00137991
          11   -0.932272   -0.933398  0.00125905
          12   -0.933984   -0.933447  0.00115507
          13   -0.945752   -0.934393  0.00140139
          14   -0.929104   -0.934015  0.00135126
          15   -0.939492    -0.93438  0.00130957
          16   -0.938916   -0.934664  0.00125803
          17   -0.937476   -0.934829  0.00119485
          18   -0.929168   -0.934515  0.00116914
          19   -0.934248   -0.934501  0.00110769
          20   -0.940316   -0.934792   0.0010898
