#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.450165    0.450165           0
           2    0.439417    0.444791   0.0038001
           3    0.387553    0.425711   0.0157829
           4    0.365448    0.410646   0.0176169
           5    0.439318     0.41638   0.0149978
           6    0.422041    0.417324   0.0125278
           7    0.410837    0.416397   0.0107724
           8    0.383489    0.412283   0.0101809
           9    0.431816    0.414454  0.00927817
          10    0.389486    0.411957  0.00867978
          11    0.408061    0.411603  0.00789793
          12     0.41524    0.411906  0.00724559
          13    0.421227    0.412623  0.00672362
          14    0.435688     0.41427  0.00644205
          15    0.412697    0.414166  0.00601344
          16    0.428659    0.415071  0.00570541
          17    0.432204    0.416079  0.00545808
          18    0.396237    0.414977    0.005265
          19    0.396516    0.414005  0.00507676
          20    0.399608    0.419285  0.00487368
