#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.14164     1.14164           0
           2     1.13814     1.13989  0.00123589
           3     1.13467     1.13815  0.00164349
           4     1.13125     1.13643  0.00193642
           5     1.12795     1.13473  0.00216787
           6     1.12481     1.13308  0.00235442
           7     1.12188     1.13148  0.00250299
           8     1.11923     1.12995   0.0026168
           9     1.11691      1.1285  0.00269749
          10     1.11497     1.12714  0.00274601
          11     1.11348      1.1259  0.00276318
          12     1.11248     1.12478  0.00274999
          13     1.11203      1.1238  0.00270792
          14     1.11215     1.12297  0.00263923
          15      1.1129      1.1223  0.00254726
          16     1.11429      1.1218  0.00243679
          17     1.11633     1.12148  0.00231461
          18     1.11902     1.12134  0.00219002
          19     1.12237     1.12139  0.00207543
          20     1.12633     1.12164   0.0019863
          21     1.13089     1.12208  0.00193995
          22       1.136     1.12271  0.00195218
          23      1.1416     1.12354  0.00203275
          24     1.14765     1.12454  0.00218229
          25     1.15407     1.12572  0.00239343
          26      1.1608     1.12707  0.00265454
          27     1.16777     1.12858  0.00295332
          28     1.17491     1.13023  0.00327872
          29     1.18215     1.13202  0.00362151
          30     1.18942     1.13394   0.0039742
          31     1.19668     1.13596  0.00433077
          32     1.20385     1.13808  0.00468634
          33     1.21089     1.14029  0.00503695
          34     1.21775     1.14257  0.00537943
          35     1.22439      1.1449  0.00571122
          36     1.23079     1.14729  0.00603031
          37     1.23691     1.14971  0.00633515
          38     1.24273     1.15216  0.00662453
          39     1.24824     1.15462   0.0068976
          40     1.25343     1.15709  0.00715379
          41     1.25828     1.15956  0.00739279
          42     1.26281     1.16202  0.00761452
          43     1.26701     1.16446  0.00781908
          44     1.27089     1.16688  0.00800673
          45     1.27445     1.16927  0.00817789
          46     1.27772     1.17163  0.00833303
          47     1.28071     1.17395  0.00847276
          48     1.28342     1.17623  0.00859772
          49     1.28588     1.17847  0.00870862
          50     1.28811     1.18066  0.00880619
          51     1.29011     1.18281  0.00889117
          52      1.2919      1.1849  0.00896429
          53      1.2935     1.18695  0.00902628
          54     1.29492     1.18895  0.00907786
          55     1.29617      1.1909   0.0091197
          56     1.29725      1.1928  0.00915245
          57     1.29818     1.19465  0.00917671
          58     1.29896     1.19645  0.00919303
          59     1.29959      1.1982  0.00920194
          60     1.30008     1.19989  0.00920391
          61     1.30041     1.20154  0.00919936
          62      1.3006     1.20314  0.00918869
          63     1.30064     1.20469  0.00917225
          64     1.30053     1.20619  0.00915037
          65     1.30026     1.20763  0.00912334
          66     1.29983     1.20903  0.00909144
          67     1.29925     1.21038  0.00905491
          68      1.2985     1.21167    0.009014
          69     1.29759     1.21292  0.00896895
          70     1.29652     1.21411  0.00891998
          71     1.29529     1.21526  0.00886732
          72     1.29391     1.21635   0.0088112
          73     1.29239     1.21739  0.00875186
          74     1.29073     1.21838  0.00868953
          75     1.28895     1.21932  0.00862446
          76     1.28705     1.22021  0.00855691
          77     1.28506     1.22105  0.00848712
          78     1.28299     1.22185  0.00841537
          79     1.28085      1.2226  0.00834193
          80     1.27867      1.2233  0.00826705
          81     1.27647     1.22395  0.00819101
          82     1.27426     1.22457  0.00811406
          83     1.27207     1.22514  0.00803646
          84     1.26992     1.22567  0.00795845
          85     1.26783     1.22617  0.00788026
          86     1.26581     1.22663   0.0078021
          87     1.26389     1.22706  0.00772417
          88     1.26209     1.22746  0.00764664
          89      1.2604     1.22783  0.00756968
          90     1.25885     1.22817  0.00749342
          91     1.25743     1.22849  0.00741797
          92     1.25615     1.22879  0.00734343
          93     1.25502     1.22907  0.00726988
          94     1.25401     1.22934  0.00719738
          95     1.25312     1.22959  0.00712597
          96     1.25234     1.22983  0.00705568
          97     1.25164     1.23005  0.00698652
          98     1.25102     1.23027  0.00691851
          99     1.25044     1.23047  0.00685162
         100     1.24988     1.23066  0.00678586
         101     1.24932     1.23085  0.00672118
         102     1.24872     1.23102  0.00665757
         103     1.24806     1.23119  0.00659499
         104     1.24732     1.23134   0.0065334
         105     1.24646     1.23149  0.00647276
         106     1.24547     1.23162  0.00641304
         107     1.24432     1.23174   0.0063542
         108     1.24299     1.23184  0.00629622
         109     1.24146     1.23193  0.00623908
         110     1.23972       1.232  0.00618276
         111     1.23776     1.23205  0.00612728
         112     1.23556     1.23208  0.00607265
         113     1.23312     1.23209  0.00601892
         114     1.23044     1.23208  0.00596614
         115     1.22751     1.23204  0.00591439
         116     1.22434     1.23197  0.00586377
         117     1.22094     1.23188  0.00581441
         118     1.21731     1.23176  0.00576645
         119     1.21347      1.2316  0.00572004
         120     1.20943     1.23142  0.00567536
         121     1.20522      1.2312  0.00563258
         122     1.20087     1.23095  0.00559189
         123      1.1964     1.23067  0.00555348
         124     1.19184     1.23036  0.00551752
         125     1.18724     1.23001  0.00548415
         126     1.18264     1.22964   0.0054535
         127     1.17806     1.22923  0.00542566
         128     1.17357      1.2288  0.00540067
         129     1.16919     1.22833  0.00537853
         130     1.16497     1.22785   0.0053592
         131     1.16094     1.22734  0.00534257
         132     1.15713      1.2268   0.0053285
         133     1.15358     1.22625   0.0053168
         134     1.15031     1.22569  0.00530725
         135     1.14732     1.22511  0.00529959
         136     1.14462     1.22451  0.00529356
         137     1.14222     1.22391   0.0052889
         138      1.1401     1.22331  0.00528533
         139     1.13825     1.22269  0.00528261
         140     1.13665     1.22208  0.00528051
         141     1.13527     1.22146  0.00527883
         142     1.13409     1.22085   0.0052774
         143     1.13307     1.22024  0.00527607
         144     1.13219     1.21962  0.00527475
         145     1.13141     1.21902  0.00527334
         146     1.13071     1.21841  0.00527179
         147     1.13005     1.21781  0.00527009
         148     1.12942     1.21721  0.00526821
         149      1.1288     1.21662  0.00526616
         150     1.12816     1.21603  0.00526397
         151     1.12749     1.21544  0.00526167
         152      1.1268     1.21486  0.00525927
         153     1.12606     1.21428  0.00525683
         154     1.12528      1.2137  0.00525437
         155     1.12446     1.21313  0.00525192
         156      1.1236     1.21255  0.00524951
         157     1.12272     1.21198  0.00524716
         158     1.12181     1.21141  0.00524489
         159      1.1209     1.21084  0.00524271
         160     1.11999     1.21027   0.0052406
         161      1.1191     1.20971  0.00523855
         162     1.11823     1.20914  0.00523656
         163     1.11742     1.20858  0.00523458
         164     1.11666     1.20802  0.00523258
         165     1.11598     1.20746  0.00523052
         166     1.11538      1.2069  0.00522834
         167      1.1149     1.20635  0.00522598
         168     1.11452     1.20581  0.00522338
         169     1.11428     1.20527  0.00522047
         170     1.11418     1.20473  0.00521719
         171     1.11422      1.2042  0.00521345
         172     1.11442     1.20368  0.00520921
         173     1.11478     1.20316  0.00520438
         174     1.11529     1.20266  0.00519891
         175     1.11597     1.20216  0.00519275
         176     1.11682     1.20168  0.00518584
         177     1.11782     1.20121  0.00517814
         178     1.11898     1.20074  0.00516961
         179     1.12029     1.20029  0.00516023
         180     1.12174     1.19986  0.00514998
         181     1.12332     1.19944  0.00513886
         182     1.12503     1.19903  0.00512686
         183     1.12685     1.19863  0.00511399
         184     1.12877     1.19825  0.00510028
         185     1.13077     1.19789  0.00508573
         186     1.13285     1.19754   0.0050704
         187     1.13499      1.1972   0.0050543
         188     1.13718     1.19688  0.00503749
         189     1.13941     1.19658  0.00502001
         190     1.14166     1.19629   0.0050019
         191     1.14393     1.19602  0.00498322
         192     1.14621     1.19576  0.00496401
         193     1.14848     1.19551  0.00494433
         194     1.15074     1.19528  0.00492423
         195     1.15298     1.19506  0.00490375
         196     1.15521     1.19486  0.00488295
         197     1.15742     1.19467  0.00486186
         198     1.15961     1.19449  0.00484053
         199     1.16177     1.19433    0.004819
         200     1.16393     1.19418   0.0047973
         201     1.16607     1.19404  0.00477547
         202      1.1682     1.19391  0.00475354
         203     1.17034     1.19379  0.00473154
         204     1.17249     1.19369   0.0047095
         205     1.17465      1.1936  0.00468744
         206     1.17685     1.19352  0.00466539
         207     1.17909     1.19345  0.00464338
         208     1.18139     1.19339  0.00462141
         209     1.18375     1.19334  0.00459953
         210     1.18617     1.19331  0.00457776
         211     1.18868     1.19329  0.00455611
         212     1.19127     1.19328  0.00453463
         213     1.19395     1.19328  0.00451334
         214     1.19672      1.1933  0.00449228
         215     1.19958     1.19332  0.00447148
         216     1.20253     1.19337  0.00445098
         217     1.20556     1.19342  0.00443083
         218     1.20867     1.19349  0.00441105
         219     1.21184     1.19358  0.00439171
         220     1.21507     1.19367  0.00437283
         221     1.21834     1.19379  0.00435447
         222     1.22164     1.19391  0.00433666
         223     1.22495     1.19405  0.00431945
         224     1.22825      1.1942  0.00430286
         225     1.23153     1.19437  0.00428694
         226     1.23477     1.19455  0.00427169
         227     1.23795     1.19474  0.00425715
         228     1.24106     1.19494  0.00424332
         229     1.24408     1.19516  0.00423022
         230     1.24699     1.19538  0.00421782
         231     1.24979     1.19562  0.00420614
         232     1.25246     1.19586  0.00419514
         233       1.255     1.19612   0.0041848
         234     1.25739     1.19638   0.0041751
         235     1.25964     1.19665  0.00416601
         236     1.26173     1.19692  0.00415747
         237     1.26367     1.19721  0.00414946
         238     1.26546     1.19749  0.00414192
         239     1.26711     1.19778  0.00413482
         240     1.26861     1.19808  0.00412811
         241     1.26996     1.19838  0.00412174
         242     1.27119     1.19868  0.00411568
         243      1.2723     1.19898  0.00410988
         244     1.27329     1.19929   0.0041043
         245     1.27417     1.19959  0.00409892
         246     1.27495      1.1999  0.00409369
         247     1.27565      1.2002  0.00408858
         248     1.27626     1.20051  0.00408358
         249     1.27681     1.20082  0.00407866
         250     1.27729     1.20112   0.0040738
         251     1.27771     1.20143  0.00406898
         252     1.27808     1.20173  0.00406419
         253      1.2784     1.20204  0.00405941
         254     1.27868     1.20234  0.00405462
         255     1.27892     1.20264  0.00404983
         256     1.27913     1.20294  0.00404502
         257      1.2793     1.20323  0.00404018
         258     1.27944     1.20353   0.0040353
         259     1.27954     1.20382  0.00403038
         260      1.2796     1.20411  0.00402541
         261     1.27963      1.2044  0.00402037
         262     1.27961     1.20469  0.00401526
         263     1.27955     1.20497  0.00401007
         264     1.27945     1.20526  0.00400479
         265      1.2793     1.20554  0.00399941
         266     1.27911     1.20581  0.00399393
         267     1.27887     1.20609  0.00398833
         268     1.27858     1.20636  0.00398261
         269     1.27826     1.20662  0.00397677
         270     1.27789     1.20689  0.00397079
         271     1.27749     1.20715  0.00396467
         272     1.27706     1.20741  0.00395842
         273      1.2766     1.20766  0.00395203
         274     1.27613     1.20791   0.0039455
         275     1.27564     1.20816  0.00393883
         276     1.27514      1.2084  0.00393203
         277     1.27464     1.20864   0.0039251
         278     1.27413     1.20887  0.00391804
         279     1.27363      1.2091  0.00391087
         280     1.27312     1.20933  0.00390358
         281     1.27261     1.20956  0.00389618
         282     1.27209     1.20978  0.00388866
         283     1.27155        1.21  0.00388104
         284     1.27099     1.21021  0.00387331
         285     1.27039     1.21042  0.00386548
         286     1.26975     1.21063  0.00385752
         287     1.26906     1.21084  0.00384945
         288      1.2683     1.21104  0.00384125
         289     1.26748     1.21123  0.00383292
         290     1.26656     1.21142  0.00382445
         291     1.26556     1.21161  0.00381583
         292     1.26447     1.21179  0.00380706
         293     1.26328     1.21196  0.00379812
         294     1.26199     1.21213  0.00378901
         295      1.2606      1.2123  0.00377972
         296     1.25912     1.21246  0.00377026
         297     1.25755     1.21261  0.00376062
         298     1.25589     1.21275  0.00375081
         299     1.25416     1.21289  0.00374082
         300     1.25237     1.21302  0.00373066
         301     1.25052     1.21315  0.00372035
         302     1.24864     1.21327  0.00370988
         303     1.24673     1.21338  0.00369928
         304     1.24482     1.21348  0.00368856
         305     1.24291     1.21358  0.00367773
         306     1.24103     1.21367   0.0036668
         307     1.23917     1.21375   0.0036558
         308     1.23737     1.21383  0.00364474
         309     1.23564      1.2139  0.00363362
         310     1.23398     1.21396  0.00362248
         311     1.23241     1.21402  0.00361132
         312     1.23093     1.21407  0.00360015
         313     1.22956     1.21412  0.00358899
         314     1.22829     1.21417  0.00357784
         315     1.22712     1.21421  0.00356672
         316     1.22606     1.21425  0.00355563
         317      1.2251     1.21428  0.00354458
         318     1.22424     1.21431  0.00353357
         319     1.22346     1.21434  0.00352261
         320     1.22275     1.21437   0.0035117
         321      1.2221     1.21439  0.00350084
         322      1.2215     1.21441  0.00349004
         323     1.22093     1.21443  0.00347929
         324     1.22037     1.21445   0.0034686
         325     1.21981     1.21447  0.00345797
         326     1.21921     1.21448  0.00344739
         327     1.21857      1.2145  0.00343687
         328     1.21786     1.21451  0.00342641
         329     1.21707     1.21451    0.003416
         330     1.21618     1.21452  0.00340566
         331     1.21517     1.21452  0.00339537
         332     1.21403     1.21452  0.00338514
         333     1.21276     1.21451  0.00337498
         334     1.21134     1.21451  0.00336489
         335     1.20975     1.21449  0.00335487
         336     1.20801     1.21447  0.00334494
         337      1.2061     1.21445  0.00333511
         338     1.20404     1.21442  0.00332539
         339     1.20181     1.21438  0.00331578
         340     1.19943     1.21433  0.00330632
         341     1.19691     1.21428  0.00329702
         342     1.19425     1.21423   0.0032879
         343     1.19147     1.21416  0.00327899
         344     1.18858     1.21408   0.0032703
         345     1.18559       1.214  0.00326186
         346     1.18253     1.21391   0.0032537
         347      1.1794     1.21381  0.00324584
         348     1.17623      1.2137  0.00323831
         349     1.17303     1.21359  0.00323113
         350     1.16981     1.21346  0.00322432
         351      1.1666     1.21333   0.0032179
         352      1.1634     1.21319  0.00321188
         353     1.16022     1.21304  0.00320628
         354     1.15708     1.21288  0.00320112
         355     1.15399     1.21271   0.0031964
         356     1.15096     1.21254  0.00319212
         357     1.14799     1.21236   0.0031883
         358     1.14509     1.21217  0.00318492
         359     1.14228     1.21198  0.00318199
         360     1.13956     1.21177  0.00317951
         361     1.13693     1.21157  0.00317745
         362     1.13442     1.21135  0.00317581
         363     1.13202     1.21114  0.00317458
         364     1.12976     1.21091  0.00317372
         365     1.12764     1.21068  0.00317321
         366     1.12567     1.21045  0.00317303
         367     1.12388     1.21022  0.00317314
         368     1.12226     1.20998  0.00317351
         369     1.12084     1.20974  0.00317409
         370     1.11962     1.20949  0.00317484
         371     1.11861     1.20925  0.00317572
         372     1.11782       1.209  0.00317668
         373     1.11725     1.20875  0.00317767
         374     1.11691     1.20851  0.00317865
         375      1.1168     1.20826  0.00317956
         376     1.11691     1.20802  0.00318038
         377     1.11725     1.20778  0.00318104
         378      1.1178     1.20754  0.00318152
         379     1.11856     1.20731  0.00318178
         380     1.11952     1.20708  0.00318178
         381     1.12067     1.20685   0.0031815
         382       1.122     1.20663  0.00318092
         383     1.12349     1.20641  0.00318001
         384     1.12514      1.2062  0.00317876
         385     1.12693     1.20599  0.00317717
         386     1.12884     1.20579  0.00317522
         387     1.13086      1.2056  0.00317291
         388     1.13297     1.20541  0.00317025
         389     1.13517     1.20523  0.00316724
         390     1.13743     1.20506  0.00316389
         391     1.13974     1.20489   0.0031602
         392      1.1421     1.20473   0.0031562
         393     1.14448     1.20458  0.00315189
         394     1.14688     1.20443  0.00314729
         395     1.14928     1.20429  0.00314242
         396     1.15169     1.20416  0.00313729
         397     1.15409     1.20403  0.00313192
         398     1.15649     1.20391  0.00312633
         399     1.15888      1.2038  0.00312053
         400     1.16126     1.20369  0.00311454
         401     1.16363     1.20359  0.00310838
         402     1.16599      1.2035  0.00310205
         403     1.16836     1.20341  0.00309558
         404     1.17073     1.20333  0.00308897
