#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271884    0.271884           0
           2    0.270781    0.271333 0.000390085
           3    0.273567    0.272078 0.000661423
           4    0.268696    0.271232 0.000884379
           5    0.267101    0.270406  0.00102311
           6    0.270796    0.270471 0.000854654
           7    0.270168    0.270428 0.000733655
           8    0.270044     0.27038 0.000643513
           9    0.268264    0.270145  0.00061346
          10    0.268792    0.270009 0.000566826
          11    0.273081    0.270289 0.000579998
          12     0.27578    0.270746 0.000688931
          13    0.270098    0.270696  0.00063774
          14    0.275596    0.271046 0.000681488
          15    0.269898     0.27097 0.000640342
          16    0.273631    0.271136 0.000621543
          17     0.26779    0.270939 0.000615364
          18    0.265876    0.270658 0.000642264
          19    0.268936    0.270567 0.000614824
          20    0.274251    0.270751 0.000611049
