#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.342387    0.342387           0
           2    0.344447    0.343417 0.000728136
           3     0.33759    0.341475   0.0016585
           4    0.340502    0.341231  0.00126157
           5    0.343452    0.341675   0.0010846
           6    0.349707    0.343014  0.00151984
           7    0.332998    0.341583  0.00185792
           8    0.350074    0.342645  0.00190486
           9    0.344204    0.342818  0.00170106
          10     0.33951    0.342487  0.00156279
          11    0.346891    0.342887  0.00147111
          12    0.329981    0.341812  0.00169673
          13    0.343581    0.341948  0.00157166
          14    0.345054     0.34217  0.00147498
          15    0.347483    0.342524  0.00141853
          16     0.34049    0.342397  0.00133556
          17    0.347596    0.342703  0.00129154
          18     0.34005    0.342555  0.00122816
          19    0.348743    0.342881  0.00120593
          20    0.336155    0.342545   0.0011916
