#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.94166     1.95655  0.00254444
         169     1.95896     1.95656  0.00252942
         170     2.00022     1.95682  0.00252755
         171     1.99084     1.95702  0.00252059
         172     1.98393     1.95717  0.00251078
         173     1.97154     1.95726  0.00249764
         174     1.96092     1.95728  0.00248338
         175     1.95321     1.95725  0.00246929
         176     1.94961     1.95721  0.00245565
         177     1.94539     1.95714  0.00244268
         178     1.92812     1.95698  0.00243439
         179     1.92584     1.95681    0.002427
         180     1.94573     1.95674   0.0024143
         181     1.96483     1.95679  0.00240137
         182     1.95163     1.95676  0.00238834
         183      1.9772     1.95687   0.0023779
         184      1.9806       1.957  0.00236848
         185     1.97303     1.95709  0.00235726
         186     1.97688     1.95719  0.00234698
         187     1.98452     1.95734  0.00233898
         188     2.00007     1.95757  0.00233755
         189     2.02286     1.95791  0.00235057
         190     2.00251     1.95815  0.00234989
         191     1.99976     1.95837  0.00234766
         192     1.98918     1.95853  0.00234091
         193     1.99448     1.95871  0.00233618
         194     1.97311     1.95879  0.00232532
         195      1.9734     1.95886   0.0023146
         196      1.9803     1.95897  0.00230537
         197     2.00885     1.95922  0.00230753
         198     2.03576     1.95961  0.00232803
         199      2.0698     1.96016  0.00238128
         200     2.06584     1.96069  0.00242728
         201     2.04022     1.96109  0.00244725
         202     2.02063     1.96138  0.00245282
         203     2.04755     1.96181  0.00247719
         204      2.0398     1.96219  0.00249437
         205     2.00908     1.96242  0.00249267
         206     1.96508     1.96243   0.0024806
         207     1.95392     1.96239  0.00246896
         208     1.96221     1.96239  0.00245709
         209     1.95066     1.96233  0.00244597
         210     1.95029     1.96228    0.002435
         211     1.95697     1.96225  0.00242359
         212     1.97367     1.96231  0.00241276
         213     1.98545     1.96241  0.00240387
         214     1.98595     1.96252  0.00239516
         215     1.95666      1.9625  0.00238417
         216     1.95107     1.96244  0.00237372
         217     1.92671     1.96228  0.00236849
         218     1.93673     1.96216  0.00236052
         219     1.93336     1.96203   0.0023534
         220     1.95085     1.96198  0.00234325
         221     1.97618     1.96204  0.00233353
         222      1.9708     1.96208  0.00232335
         223     1.98761      1.9622  0.00231575
         224     1.99154     1.96233  0.00230912
         225     2.00614     1.96252  0.00230705
         226     2.00994     1.96273  0.00230636
         227     2.00138      1.9629  0.00230248
         228     2.00234     1.96308  0.00229887
         229      1.9982     1.96323  0.00229394
         230     2.01503     1.96346  0.00229499
         231     2.00658     1.96364  0.00229264
         232     1.96116     1.96363  0.00228278
         233     1.94282     1.96354  0.00227473
         234     1.92305     1.96337  0.00227158
         235     1.91385     1.96316  0.00227167
         236     1.97631     1.96321  0.00226273
         237     2.01469     1.96343  0.00226358
         238     2.02334     1.96368  0.00226802
         239     1.96223     1.96368  0.00225854
         240     1.93249     1.96355  0.00225286
         241     1.90551     1.96331  0.00225635
         242     1.91245      1.9631  0.00225679
         243     1.94197     1.96301  0.00224917
         244     1.96019       1.963  0.00223999
         245     1.98579     1.96309  0.00223277
         246     1.96698     1.96311  0.00222375
         247       1.971     1.96314  0.00221498
         248     1.93795     1.96304  0.00220838
         249     1.94083     1.96295  0.00220131
         250     1.96342     1.96295   0.0021925
