       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
           5     5.37401           0      0.0047  0.00420381
           5     5.56257           0           0           0
           6   0.0942809      0.1485   0.0778333   0.0179949
           6    0.282843      0.5695     0.83125    0.179526
           6    0.471405      1.5025     1.71433   0.0978454
           6    0.659966       2.766     3.09017    0.540567
           6    0.848528       4.757     4.29908    0.497583
           6     1.03709      8.8165     7.32892    0.731402
           6     1.22565      10.363      8.1655    0.774991
           6     1.41421     10.6185     8.86758    0.566283
           6     1.60278      9.2755     9.15425    0.466604
           6     1.79134       9.826     10.5322    0.486774
           6      1.9799     12.7215      9.6805    0.692152
           6     2.16846       9.277     8.78208    0.239476
           6     2.35702      6.1375     7.66708    0.789322
           6     2.54558      4.4465     6.78342    0.700284
           6     2.73415      6.3275     6.75717    0.626271
           6     2.92271       3.303     4.90792    0.412995
           6     3.11127      1.5685     3.08142    0.355343
           6     3.29983       1.643     2.35267     0.39343
           6     3.48839      1.8715     1.62808    0.145699
           6     3.67696      0.6425       1.068    0.239589
           6     3.86552      0.3375    0.489667   0.0920089
           6     4.05408      0.7085     0.35075   0.0884775
           6     4.24264       0.313    0.275667    0.111332
           6      4.4312      0.0595   0.0684167   0.0369774
           6     4.61976           0   0.0156667   0.0143016
           6     4.80833           0      0.0135   0.0123238
           6     4.99689           0   0.0104167  0.00950907
           6     5.18545           0  0.00258333  0.00235825
           6     5.37401           0  0.00391667  0.00357541
           6     5.56257           0           0           0
           7   0.0942809      0.1395   0.0866429   0.0174478
           7    0.282843       0.897    0.840643    0.154125
           7    0.471405       1.696     1.71171   0.0839025
           7    0.659966       4.606     3.30671    0.504858
           7    0.848528      6.7715     4.65229    0.537431
           7     1.03709      9.2265         7.6    0.675286
           7     1.22565      8.0905     8.15479    0.664352
           7     1.41421       9.836     9.00593       0.502
           7     1.60278      8.5285     9.06486    0.408419
           7     1.79134      7.4405     10.0905    0.584198
           7      1.9799      12.295      10.054    0.686693
           7     2.16846        9.06     8.82179     0.20853
           7     2.35702      6.1355     7.44829    0.706236
           7     2.54558       5.605     6.61507    0.620148
           7     2.73415      4.7245     6.46679    0.600361
           7     2.92271       5.001     4.92121    0.354209
           7     3.11127      2.7655     3.03629    0.307432
           7     3.29983       1.808     2.27486    0.344834
           7     3.48839       0.864     1.51893    0.160651
           7     3.67696       1.338     1.10657    0.208443
           7     3.86552       0.672    0.515714   0.0824694
           7     4.05408       0.488    0.370357   0.0779801
           7     4.24264      0.0115    0.237929    0.101622
           7      4.4312           0   0.0586429   0.0329613
           7     4.61976           0   0.0134286   0.0124324
           7     4.80833           0   0.0115714   0.0107131
           7     4.99689           0  0.00892857  0.00826625
           7     5.18545           0  0.00221429  0.00205003
           7     5.37401           0  0.00335714  0.00310811
           7     5.56257           0           0           0
           8   0.0942809      0.0025    0.076125   0.0181624
           8    0.282843      0.9945    0.859875    0.136054
           8    0.471405       2.564     1.81825    0.123777
           8    0.659966       3.078     3.27812    0.442559
           8    0.848528      7.4735     5.00494    0.574417
           8     1.03709      9.3905     7.82381    0.626869
           8     1.22565      9.8455     8.36613    0.614003
           8     1.41421       9.012     9.00669    0.439251
           8     1.60278       9.222      9.0845    0.357839
           8     1.79134      9.7545     10.0485    0.512681
           8      1.9799      7.1455     9.69044    0.690423
           8     2.16846      10.289     9.00519    0.250449
           8     2.35702      4.5595     7.08719    0.704247
           8     2.54558       6.951     6.65706     0.54405
           8     2.73415       5.227     6.31181    0.544951
           8     2.92271      3.9165     4.79563    0.331451
           8     3.11127      2.5805     2.97931    0.274231
           8     3.29983       2.866     2.34875    0.309546
           8     3.48839        1.87     1.56281    0.146441
           8     3.67696       0.861     1.07588    0.184634
           8     3.86552        0.25      0.4825    0.078565
           8     4.05408       0.078    0.333812   0.0763168
           8     4.24264      0.0405     0.21325   0.0918671
           8      4.4312       0.011   0.0526875   0.0293742
           8     4.61976      0.0175   0.0139375   0.0108888
           8     4.80833           0    0.010125  0.00947107
           8     4.99689           0   0.0078125  0.00730792
           8     5.18545           0   0.0019375  0.00181237
           8     5.37401           0   0.0029375  0.00274778
           8     5.56257           0           0           0
           9   0.0942809           0   0.0676667   0.0180065
           9    0.282843      1.0785    0.884167    0.123086
           9    0.471405      2.2975      1.8715    0.120937
           9    0.659966      3.5405     3.30728    0.394345
           9    0.848528      6.1025     5.12689    0.523378
           9     1.03709       7.166     7.75072    0.561462
           9     1.22565     11.5475     8.71961    0.639489
           9     1.41421      10.715      9.1965    0.429503
           9     1.60278      8.1935      8.9855    0.331491
           9     1.79134       8.472     9.87333    0.484718
           9      1.9799       8.144     9.51861     0.63473
           9     2.16846     10.9195     9.21789    0.299625
           9     2.35702      5.3535     6.89456     0.65181
           9     2.54558       6.752     6.66761    0.483702
           9     2.73415       4.156     6.07228    0.534459
           9     2.92271      4.6735     4.78206    0.294901
           9     3.11127      3.0585     2.98811    0.243902
           9     3.29983      2.5495     2.37106    0.275954
           9     3.48839      2.0885     1.62122    0.141339
           9     3.67696      0.9535     1.06228    0.164619
           9     3.86552       0.214    0.452667   0.0752871
           9     4.05408      0.0245    0.299444   0.0751785
           9     4.24264           0    0.189556   0.0846602
           9      4.4312           0   0.0468333   0.0266874
           9     4.61976           0   0.0123889  0.00978843
           9     4.80833           0       0.009  0.00848528
           9     4.99689           0  0.00694444  0.00654729
           9     5.18545           0  0.00172222  0.00162373
           9     5.37401           0  0.00261111  0.00246178
           9     5.56257           0           0           0
          10   0.0942809       0.061       0.067   0.0162182
          10    0.282843      0.7005      0.8658     0.11214
          10    0.471405      2.2715      1.9115    0.115269
          10    0.659966       3.741     3.35065    0.357288
          10    0.848528       5.057      5.1199    0.471087
          10     1.03709       8.678     7.84345    0.512915
          10     1.22565      9.7515      8.8228    0.583806
          10     1.41421       9.313     9.20815    0.386711
          10     1.60278      10.633     9.15025    0.336803
          10     1.79134      9.8905     9.87505    0.436249
          10      1.9799       9.775     9.54425    0.571775
          10     2.16846      7.4145     9.03755    0.319356
          10     2.35702       6.577      6.8628    0.587402
          10     2.54558      6.8955      6.6904    0.435868
          10     2.73415      4.4415      5.9092     0.50528
          10     2.92271      4.5875      4.7626    0.266052
          10     3.11127        2.57      2.9463    0.223067
          10     3.29983      1.6285      2.2968    0.258156
          10     3.48839       1.649       1.624    0.127233
          10     3.67696       1.979     1.15395    0.171796
          10     3.86552      0.3555     0.44295   0.0683825
          10     4.05408        0.03      0.2725   0.0723282
          10     4.24264           0      0.1706   0.0782875
          10      4.4312           0     0.04215   0.0244261
          10     4.61976           0     0.01115  0.00888765
          10     4.80833           0      0.0081  0.00768433
          10     4.99689           0     0.00625  0.00592927
          10     5.18545           0     0.00155  0.00147046
          10     5.37401           0     0.00235  0.00222941
          10     5.56257           0           0           0
          11   0.0942809       0.085   0.0686364   0.0148261
          11    0.282843      0.3505    0.818955    0.111301
          11    0.471405       2.389     1.95491    0.112668
          11    0.659966      3.9325     3.40355    0.328699
          11    0.848528       8.092     5.39009    0.499774
          11     1.03709       8.471      7.9005    0.469449
          11     1.22565      8.6965     8.81132    0.530845
          11     1.41421       8.817     9.17259    0.353186
          11     1.60278      10.935      9.3125    0.343046
          11     1.79134       7.479     9.65723     0.44768
          11      1.9799     11.7595     9.74564    0.554127
          11     2.16846      8.8445        9.02    0.290805
          11     2.35702      4.4085     6.63968    0.574817
          11     2.54558       6.695     6.69082    0.396244
          11     2.73415       6.074     5.92418    0.459568
          11     2.92271       3.087     4.61027    0.282122
          11     3.11127      2.2555      2.8835    0.211444
          11     3.29983      1.4075     2.21595    0.247022
          11     3.48839      1.6535     1.62668    0.115694
          11     3.67696      1.5195     1.18718     0.15936
          11     3.86552       0.506    0.448682   0.0624057
          11     4.05408      0.1695    0.263136   0.0663562
          11     4.24264      0.0085    0.155864   0.0725441
          11      4.4312      0.1565   0.0525455   0.0243172
          11     4.61976      0.0015   0.0102727  0.00812286
          11     4.80833      0.0505   0.0119545  0.00789352
          11     4.99689      0.1555   0.0198182   0.0140148
          11     5.18545           0  0.00140909  0.00134352
          11     5.37401           0  0.00213636  0.00203694
          11     5.56257           0           0           0
          12   0.0942809       0.017   0.0643333   0.0142013
          12    0.282843       0.553    0.796792    0.104209
          12    0.471405       2.852     2.02967    0.125656
          12    0.659966       6.119     3.62983    0.371113
          12    0.848528      4.9615     5.35438    0.459401
          12     1.03709      10.131     8.08637    0.465674
          12     1.22565      8.8245     8.81242    0.486609
          12     1.41421       7.652     9.04588    0.345739
          12     1.60278      10.436     9.40613    0.326986
          12     1.79134       9.233     9.62188    0.411767
          12      1.9799      9.5345     9.72804    0.508229
          12     2.16846     10.8455     9.17212    0.303766
          12     2.35702      5.2315     6.52233     0.53876
          12     2.54558       5.399     6.58317    0.377564
          12     2.73415       4.737     5.82525    0.431788
          12     2.92271        2.83     4.46192    0.295052
          12     3.11127      2.1085     2.81892    0.203447
          12     3.29983       2.061     2.20304    0.226774
          12     3.48839       1.914     1.65063    0.108502
          12     3.67696        1.21     1.18908    0.146092
          12     3.86552      0.4125    0.445667    0.057278
          12     4.05408       0.148    0.253542   0.0615163
          12     4.24264       0.062    0.148042   0.0669192
          12      4.4312        0.25       0.069    0.027296
          12     4.61976      0.0295    0.011875  0.00760234
          12     4.80833      0.2555     0.03225   0.0207349
          12     4.99689      0.1925   0.0342083   0.0188378
          12     5.18545           0  0.00129167  0.00123668
          12     5.37401           0  0.00195833  0.00187496
          12     5.56257           0           0           0
          13   0.0942809      0.0935   0.0665769    0.013285
          13    0.282843      0.8775       0.803   0.0963774
          13    0.471405      1.6965     2.00404    0.118575
          13    0.659966       4.034     3.66092    0.343866
          13    0.848528       5.123     5.33658    0.424407
          13     1.03709      8.0325     8.08223    0.429872
          13     1.22565      10.664     8.95485     0.46956
          13     1.41421      8.5055     9.00431    0.321633
          13     1.60278      9.0325     9.37738    0.303094
          13     1.79134       9.135     9.58442    0.381792
          13      1.9799      9.3435     9.69846    0.469995
          13     2.16846       8.239     9.10035    0.288755
          13     2.35702      8.2285     6.65358    0.513054
          13     2.54558       7.789     6.67592    0.359734
          13     2.73415      5.3575     5.78927     0.40007
          13     2.92271       3.347     4.37615    0.284547
          13     3.11127      2.1855     2.77019    0.193544
          13     3.29983      3.1635     2.27692    0.221038
          13     3.48839       1.526     1.64104    0.100579
          13     3.67696      1.1175     1.18358    0.134958
          13     3.86552      0.2285    0.428962   0.0552543
          13     4.05408      0.1235    0.243538   0.0575918
          13     4.24264      0.0835    0.143077   0.0619554
          13      4.4312       0.031   0.0660769   0.0253523
          13     4.61976       0.024   0.0128077  0.00707453
          13     4.80833      0.0185   0.0311923   0.0191669
