#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.893716   -0.893716           0
           2    -0.89364   -0.893678 2.68701e-05
           3   -0.888812   -0.892056  0.00132448
           4   -0.886484   -0.890663  0.00156272
           5   -0.894912   -0.891513   0.0014631
           6   -0.894864   -0.892071  0.00132157
           7   -0.889624   -0.891722  0.00117811
           8   -0.890356   -0.891551  0.00104314
           9   -0.894988   -0.891933 0.000994688
          10   -0.897604     -0.8925  0.00104445
          11   -0.890124   -0.892284 0.000971577
          12     -0.8967   -0.892652 0.000957773
          13   -0.887952    -0.89229 0.000949887
          14   -0.888488   -0.892019 0.000920049
          15   -0.891824   -0.892006 0.000858804
          16   -0.891356   -0.891965 0.000806089
          17   -0.887388   -0.891696  0.00080238
          18   -0.894092   -0.891829 0.000768765
          19   -0.898892   -0.892201 0.000813227
          20   -0.892376    -0.89221 0.000772613
