#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.487444    0.487444           0
           2     0.44622    0.466832   0.0145749
           3     0.50257    0.478745   0.0137484
           4     0.47323    0.477366   0.0103802
           5    0.486596    0.479212  0.00846674
           6    0.477742    0.478967  0.00705916
           7    0.469028    0.477547  0.00619185
           8    0.440816    0.472956  0.00691369
           9    0.400138    0.464865   0.0097957
          10    0.426834    0.461062  0.00952582
          11    0.444152    0.459525    0.008783
          12     0.41351     0.45569  0.00884864
          13    0.447646    0.455071  0.00818958
          14    0.385718    0.450117  0.00897872
          15    0.383268    0.445661  0.00942147
          16    0.404974    0.443118  0.00916939
          17    0.445144    0.443237  0.00863079
          18     0.45502    0.443892  0.00817608
          19    0.456004    0.444529  0.00777058
          20    0.466376    0.445622  0.00745843
