#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     23.8025     23.8025           0
           2     24.9291     24.3658    0.398319
           3      22.467     23.7329    0.581024
           4     22.1671     23.3414    0.552094
           5     25.1038     23.6939    0.542653
           6     25.3842     23.9756    0.520223
           7     23.8655     23.9599    0.446143
           8     23.4807        23.9    0.394376
           9     26.1584     24.1509    0.422919
          10     27.1393     24.4498    0.474605
          11     24.1697     24.4243    0.432142
          12     25.9421     24.5508    0.414227
          13      21.885     24.3457    0.430137
          14     22.5603     24.2182     0.41789
          15     25.2722     24.2885    0.395894
          16     23.7269     24.2534    0.372703
          17     23.9492     24.2355    0.351209
          18     25.2737     24.2931      0.3364
          19     27.3841     24.4558    0.355863
          20     25.6017     24.5131    0.342651
