#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.33638     7.33638           0
           2     7.34296     7.33967   0.0023278
           3     7.52976     7.40303   0.0517608
           4     7.96491      7.5435    0.127693
           5     7.51689     7.53818    0.102266
           6     7.54997     7.54014   0.0852403
           7     7.24499     7.49798   0.0828378
           8     7.17041     7.45703   0.0819805
           9     7.48775     7.46045   0.0729425
          10     7.61478     7.47588   0.0672612
          11     7.29342     7.45929   0.0631589
          12     7.39968     7.45433   0.0580906
          13     7.23512     7.43746   0.0560159
          14     7.45598     7.43879   0.0520303
          15     8.00576     7.47658   0.0607592
          16     7.38997     7.47117   0.0572024
          17     7.28217     7.46005   0.0549073
          18     7.41816     7.45773   0.0519062
          19     7.69512     7.47022   0.0506558
          20     7.59746     7.47658   0.0485208
